value,total_count,target_count,non_target_count,percent_target_within_group,percent_of_all_records,percent_of_all_target,support_warning
FourierTransform,1200,0,1200,0.0,0.27032811074441604,0.0,NO_TARGET_POSITIVES
IonTrap,1883,0,1883,0.0,0.42418986044311285,0.0,NO_TARGET_POSITIVES
MagneticSector,164,0,164,0.0,0.03694484180173686,0.0,NO_TARGET_POSITIVES
Orbitrap,375443,12,375431,0.003196224193819035,84.57733073517983,48.0,
Other,20499,5,20494,0.02439143372847456,4.617879951791487,20.0,LOW_TARGET_SUPPORT
Quadrupole,6623,0,6623,0.0,1.4919858978835563,0.0,NO_TARGET_POSITIVES
TimeOfFlight,37523,8,37515,0.021320256909095756,8.45293474955227,32.0,LOW_TARGET_SUPPORT
UNKNOWN,570,0,570,0.0,0.1284058526035976,0.0,NO_TARGET_POSITIVES
TOTAL_RECORDS,443905,25,443880,0.005631835640508668,100.0,100.0,
TOTAL_ASSIGNMENTS,443905,25,443880,0.005631835640508668,100.0,100.0,
