value,total_count,target_count,non_target_count,percent_target_within_group,percent_of_all_records,percent_of_all_target,support_warning
Alkylresorcinols,6,0,6,0.0,0.0013516405537220802,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Amino acid glycosides,432,0,432,0.0,0.09731811986798977,0.0,NO_TARGET_POSITIVES
Aminosugars and aminoglycosides,1023,0,1023,0.0,0.23045471440961465,0.0,NO_TARGET_POSITIVES
Anthranilic acid alkaloids,18340,274,18066,1.4940021810250816,4.131514625877158,6.505223171889838,
Apocarotenoids,581,0,581,0.0,0.13088386028542143,0.0,NO_TARGET_POSITIVES
Aromatic polyketides,2200,53,2147,2.409090909090909,0.4956015363647627,1.258309591642925,
Carotenoids (C40),838,0,838,0.0,0.18877913066985053,0.0,NO_TARGET_POSITIVES
Carotenoids (C50),2,0,2,0.0,0.00045054685124069335,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Chromanes,3063,25,3038,0.8161932745674175,0.6900125026751219,0.5935422602089269,
Coumarins,14023,118,13905,0.8414747201026884,3.159009247474122,2.801519468186135,
Cyclic polyketides,1750,5,1745,0.2857142857142857,0.39422849483560674,0.11870845204178537,LOW_TARGET_SUPPORT
Diarylheptanoids,955,0,955,0.0,0.2151361214674311,0.0,NO_TARGET_POSITIVES
Diazotetronic acids and derivatives,45,0,45,0.0,0.010137304152915602,0.0,NO_TARGET_POSITIVES
Diphenyl ethers (DPEs),141,18,123,12.76595744680851,0.03176355301246889,0.4273504273504274,
Diterpenoids,6712,2,6710,0.02979737783075089,1.512035232763767,0.04748338081671415,LOW_TARGET_SUPPORT
Docosanoids,36,0,36,0.0,0.00810984332233248,0.0,NO_TARGET_POSITIVES
Eicosanoids,647,0,647,0.0,0.14575190637636432,0.0,NO_TARGET_POSITIVES
Fatty Acids and Conjugates,7686,0,7686,0.0,1.7314515493179847,0.0,NO_TARGET_POSITIVES
Fatty acyl glycosides,357,0,357,0.0,0.08042261294646377,0.0,NO_TARGET_POSITIVES
Fatty acyls,1885,17,1868,0.9018567639257294,0.42464040729435354,0.40360873694207033,
Fatty amides,2688,0,2688,0.0,0.6055349680674919,0.0,NO_TARGET_POSITIVES
Fatty esters,1698,0,1698,0.0,0.3825142767033487,0.0,NO_TARGET_POSITIVES
Flavonoids,37643,109,37534,0.28956246845363015,8.479967560626712,2.5878442545109213,
Fluorenes,16,0,16,0.0,0.003604374809925547,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Glycerolipids,693,0,693,0.0,0.15611448395490027,0.0,NO_TARGET_POSITIVES
Glycerophospholipids,9759,1,9758,0.010246951531919254,2.1984433606289633,0.023741690408357077,LOW_TARGET_SUPPORT
Guanidine alkaloids,13,0,13,0.0,0.002928554533064507,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Histidine alkaloids,5249,248,5001,4.724709468470185,1.1824602110812,5.887939221272555,
Isoflavonoids,8951,17,8934,0.18992291364093397,2.016422432727723,0.40360873694207033,
Lignans,6607,87,6520,1.3167852277887089,1.4883815230736306,2.0655270655270654,
Linear polyketides,979,6,973,0.6128702757916241,0.22054268368231938,0.14245014245014245,LOW_TARGET_SUPPORT
Lysine alkaloids,26505,296,26209,1.1167704206753444,5.97087214606729,7.027540360873694,
Macrolides,4156,33,4123,0.7940327237728586,0.9362363568781609,0.7834757834757835,
Meroterpenoids,1811,0,1811,0.0,0.4079701737984479,0.0,NO_TARGET_POSITIVES
Miscellaneous alkaloids,5,0,5,0.0,0.0011263671281017335,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Miscellaneous polyketides,4,0,4,0.0,0.0009010937024813867,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Mitomycin derivatives,40,0,40,0.0,0.009010937024813868,0.0,NO_TARGET_POSITIVES
Monoterpenoids,8330,20,8310,0.24009603841536614,1.8765276354174882,0.4748338081671415,
Mycosporine derivatives,11,0,11,0.0,0.002478007681823814,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Naphthalenes,1536,0,1536,0.0,0.34601998175285253,0.0,NO_TARGET_POSITIVES
Nicotinic acid alkaloids,62604,1079,61525,1.7235320426809788,14.103017537536184,25.617283950617285,
Nucleosides,4942,31,4911,0.6272764063132336,1.1133012694157534,0.7359924026590694,
Octadecanoids,386,0,386,0.0,0.08695554228945382,0.0,NO_TARGET_POSITIVES
Oligopeptides,3227,9,3218,0.27889680818097307,0.7269573444768588,0.2136752136752137,LOW_TARGET_SUPPORT
Ornithine alkaloids,11453,191,11262,1.6676853226228936,2.580056543629831,4.534662867996201,
Peptide alkaloids,4875,98,4777,2.01025641025641,1.0982079498991901,2.3266856600189936,
Phenanthrenoids,450,4,446,0.8888888888888888,0.10137304152915601,0.0949667616334283,LOW_TARGET_SUPPORT
Phenolic acids (C6-C1),8105,33,8072,0.4071560764959901,1.82584111465291,0.7834757834757835,
Phenylethanoids (C6-C2),966,0,966,0.0,0.21761412914925493,0.0,NO_TARGET_POSITIVES
Phenylpropanoids (C6-C3),7178,6,7172,0.08358874338255781,1.6170126491028485,0.14245014245014245,LOW_TARGET_SUPPORT
Phloroglucinols,469,0,469,0.0,0.10565323661594259,0.0,NO_TARGET_POSITIVES
Polycyclic aromatic polyketides,2952,11,2941,0.37262872628726285,0.6650071524312634,0.26115859449192785,
Polyethers,595,0,595,0.0,0.13403768824410628,0.0,NO_TARGET_POSITIVES
Polyols,767,0,767,0.0,0.1727847174508059,0.0,NO_TARGET_POSITIVES
Polyprenols,45,0,45,0.0,0.010137304152915602,0.0,NO_TARGET_POSITIVES
Proline alkaloids,254,4,250,1.574803149606299,0.05721945010756806,0.0949667616334283,LOW_TARGET_SUPPORT
Pseudoalkaloids,19762,97,19665,0.49084100799514213,4.451853437109291,2.302943969610636,
Saccharides,1741,0,1741,0.0,0.39220103400502365,0.0,NO_TARGET_POSITIVES
Serine alkaloids,649,2,647,0.30816640986132515,0.146202453227605,0.04748338081671415,LOW_TARGET_SUPPORT
Sesquiterpenoids,6965,11,6954,0.15793251974156497,1.5690294094457147,0.26115859449192785,
Sesterterpenoids,18,0,18,0.0,0.00405492166116624,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Small peptides,23205,160,23045,0.689506571859513,5.227469841520145,3.798670465337132,
Sphingolipids,1919,0,1919,0.0,0.4322997037654453,0.0,NO_TARGET_POSITIVES
Steroids,24140,86,24054,0.35625517812758906,5.438100494475169,2.0417853751187085,
Stilbenoids,1556,7,1549,0.4498714652956298,0.35052545026525944,0.16619183285849953,LOW_TARGET_SUPPORT
Styrylpyrones,300,0,300,0.0,0.06758202768610401,0.0,NO_TARGET_POSITIVES
Terphenyls,232,0,232,0.0,0.05226343474392044,0.0,NO_TARGET_POSITIVES
Tetramate alkaloids,985,48,937,4.873096446700507,0.2218943242360415,1.1396011396011396,
Triterpenoids,16701,0,16701,0.0,3.7622914812854105,0.0,NO_TARGET_POSITIVES
Tropolones,7,0,7,0.0,0.0015769139793424267,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Tryptophan alkaloids,42993,592,42401,1.3769683436838553,9.685180387695565,14.055080721747387,
Tyrosine alkaloids,22659,512,22147,2.2595878017564766,5.104470551131436,12.155745489078823,
Xanthones,1299,0,1299,0.0,0.29263017988083034,0.0,NO_TARGET_POSITIVES
β-lactams,1951,1,1950,0.05125576627370579,0.4395084533852964,0.023741690408357077,LOW_TARGET_SUPPORT
γ-lactam-β-lactones,8,0,8,0.0,0.0018021874049627734,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
TOTAL_RECORDS,443905,4212,439693,0.9488516687129004,100.0,100.0,
TOTAL_ASSIGNMENTS,453774,4311,449463,0.9500323949807614,102.2232234374472,102.35042735042734,
