value,total_count,target_count,non_target_count,percent_target_within_group,percent_of_all_records,percent_of_all_target,support_warning
FourierTransform,1200,0,1200,0.0,0.27032811074441604,0.0,NO_TARGET_POSITIVES
IonTrap,1883,0,1883,0.0,0.42418986044311285,0.0,NO_TARGET_POSITIVES
MagneticSector,164,0,164,0.0,0.03694484180173686,0.0,NO_TARGET_POSITIVES
Orbitrap,375443,3770,371673,1.0041471008914802,84.57733073517983,89.50617283950618,
Other,20499,102,20397,0.497585248060881,4.617879951791487,2.4216524216524213,
Quadrupole,6623,2,6621,0.030197795560924053,1.4919858978835563,0.04748338081671415,LOW_TARGET_SUPPORT
TimeOfFlight,37523,336,37187,0.8954507901820217,8.45293474955227,7.977207977207977,
UNKNOWN,570,2,568,0.3508771929824561,0.1284058526035976,0.04748338081671415,LOW_TARGET_SUPPORT
TOTAL_RECORDS,443905,4212,439693,0.9488516687129004,100.0,100.0,
TOTAL_ASSIGNMENTS,443905,4212,439693,0.9488516687129004,100.0,100.0,
