value,total_count,target_count,non_target_count,percent_target_within_group,percent_of_all_records,percent_of_all_target,support_warning
Alkylresorcinols,6,6,0,100.0,0.0013516405537220802,0.0013516405537220802,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Amino acid glycosides,432,432,0,100.0,0.09731811986798977,0.09731811986798977,
Aminosugars and aminoglycosides,1023,1023,0,100.0,0.23045471440961465,0.23045471440961465,
Anthranilic acid alkaloids,18340,18340,0,100.0,4.131514625877158,4.131514625877158,
Apocarotenoids,581,581,0,100.0,0.13088386028542143,0.13088386028542143,
Aromatic polyketides,2200,2200,0,100.0,0.4956015363647627,0.4956015363647627,
Carotenoids (C40),838,838,0,100.0,0.18877913066985053,0.18877913066985053,
Carotenoids (C50),2,2,0,100.0,0.00045054685124069335,0.00045054685124069335,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Chromanes,3063,3063,0,100.0,0.6900125026751219,0.6900125026751219,
Coumarins,14023,14023,0,100.0,3.159009247474122,3.159009247474122,
Cyclic polyketides,1750,1750,0,100.0,0.39422849483560674,0.39422849483560674,
Diarylheptanoids,955,955,0,100.0,0.2151361214674311,0.2151361214674311,
Diazotetronic acids and derivatives,45,45,0,100.0,0.010137304152915602,0.010137304152915602,
Diphenyl ethers (DPEs),141,141,0,100.0,0.03176355301246889,0.03176355301246889,
Diterpenoids,6712,6712,0,100.0,1.512035232763767,1.512035232763767,
Docosanoids,36,36,0,100.0,0.00810984332233248,0.00810984332233248,
Eicosanoids,647,647,0,100.0,0.14575190637636432,0.14575190637636432,
Fatty Acids and Conjugates,7686,7686,0,100.0,1.7314515493179847,1.7314515493179847,
Fatty acyl glycosides,357,357,0,100.0,0.08042261294646377,0.08042261294646377,
Fatty acyls,1885,1885,0,100.0,0.42464040729435354,0.42464040729435354,
Fatty amides,2688,2688,0,100.0,0.6055349680674919,0.6055349680674919,
Fatty esters,1698,1698,0,100.0,0.3825142767033487,0.3825142767033487,
Flavonoids,37643,37643,0,100.0,8.479967560626712,8.479967560626712,
Fluorenes,16,16,0,100.0,0.003604374809925547,0.003604374809925547,LOW_TOTAL_SUPPORT
Glycerolipids,693,693,0,100.0,0.15611448395490027,0.15611448395490027,
Glycerophospholipids,9759,9759,0,100.0,2.1984433606289633,2.1984433606289633,
Guanidine alkaloids,13,13,0,100.0,0.002928554533064507,0.002928554533064507,LOW_TOTAL_SUPPORT
Histidine alkaloids,5249,5249,0,100.0,1.1824602110812,1.1824602110812,
Isoflavonoids,8951,8951,0,100.0,2.016422432727723,2.016422432727723,
Lignans,6607,6607,0,100.0,1.4883815230736306,1.4883815230736306,
Linear polyketides,979,979,0,100.0,0.22054268368231938,0.22054268368231938,
Lysine alkaloids,26505,26505,0,100.0,5.97087214606729,5.97087214606729,
Macrolides,4156,4156,0,100.0,0.9362363568781609,0.9362363568781609,
Meroterpenoids,1811,1811,0,100.0,0.4079701737984479,0.4079701737984479,
Miscellaneous alkaloids,5,5,0,100.0,0.0011263671281017335,0.0011263671281017335,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Miscellaneous polyketides,4,4,0,100.0,0.0009010937024813867,0.0009010937024813867,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Mitomycin derivatives,40,40,0,100.0,0.009010937024813868,0.009010937024813868,
Monoterpenoids,8330,8330,0,100.0,1.8765276354174882,1.8765276354174882,
Mycosporine derivatives,11,11,0,100.0,0.002478007681823814,0.002478007681823814,LOW_TOTAL_SUPPORT
Naphthalenes,1536,1536,0,100.0,0.34601998175285253,0.34601998175285253,
Nicotinic acid alkaloids,62604,62604,0,100.0,14.103017537536184,14.103017537536184,
Nucleosides,4942,4942,0,100.0,1.1133012694157534,1.1133012694157534,
Octadecanoids,386,386,0,100.0,0.08695554228945382,0.08695554228945382,
Oligopeptides,3227,3227,0,100.0,0.7269573444768588,0.7269573444768588,
Ornithine alkaloids,11453,11453,0,100.0,2.580056543629831,2.580056543629831,
Peptide alkaloids,4875,4875,0,100.0,1.0982079498991901,1.0982079498991901,
Phenanthrenoids,450,450,0,100.0,0.10137304152915601,0.10137304152915601,
Phenolic acids (C6-C1),8105,8105,0,100.0,1.82584111465291,1.82584111465291,
Phenylethanoids (C6-C2),966,966,0,100.0,0.21761412914925493,0.21761412914925493,
Phenylpropanoids (C6-C3),7178,7178,0,100.0,1.6170126491028485,1.6170126491028485,
Phloroglucinols,469,469,0,100.0,0.10565323661594259,0.10565323661594259,
Polycyclic aromatic polyketides,2952,2952,0,100.0,0.6650071524312634,0.6650071524312634,
Polyethers,595,595,0,100.0,0.13403768824410628,0.13403768824410628,
Polyols,767,767,0,100.0,0.1727847174508059,0.1727847174508059,
Polyprenols,45,45,0,100.0,0.010137304152915602,0.010137304152915602,
Proline alkaloids,254,254,0,100.0,0.05721945010756806,0.05721945010756806,
Pseudoalkaloids,19762,19762,0,100.0,4.451853437109291,4.451853437109291,
Saccharides,1741,1741,0,100.0,0.39220103400502365,0.39220103400502365,
Serine alkaloids,649,649,0,100.0,0.146202453227605,0.146202453227605,
Sesquiterpenoids,6965,6965,0,100.0,1.5690294094457147,1.5690294094457147,
Sesterterpenoids,18,18,0,100.0,0.00405492166116624,0.00405492166116624,LOW_TOTAL_SUPPORT
Small peptides,23205,23205,0,100.0,5.227469841520145,5.227469841520145,
Sphingolipids,1919,1919,0,100.0,0.4322997037654453,0.4322997037654453,
Steroids,24140,24140,0,100.0,5.438100494475169,5.438100494475169,
Stilbenoids,1556,1556,0,100.0,0.35052545026525944,0.35052545026525944,
Styrylpyrones,300,300,0,100.0,0.06758202768610401,0.06758202768610401,
Terphenyls,232,232,0,100.0,0.05226343474392044,0.05226343474392044,
Tetramate alkaloids,985,985,0,100.0,0.2218943242360415,0.2218943242360415,
Triterpenoids,16701,16701,0,100.0,3.7622914812854105,3.7622914812854105,
Tropolones,7,7,0,100.0,0.0015769139793424267,0.0015769139793424267,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Tryptophan alkaloids,42993,42993,0,100.0,9.685180387695565,9.685180387695565,
Tyrosine alkaloids,22659,22659,0,100.0,5.104470551131436,5.104470551131436,
Xanthones,1299,1299,0,100.0,0.29263017988083034,0.29263017988083034,
β-lactams,1951,1951,0,100.0,0.4395084533852964,0.4395084533852964,
γ-lactam-β-lactones,8,8,0,100.0,0.0018021874049627734,0.0018021874049627734,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
TOTAL_RECORDS,443905,443905,0,100.0,100.0,100.0,
