atom_count,record_count,percent_of_formula_records,contains_target
1,19,0.004280195086786587,true
2,204,0.045955778826550726,true
3,1595,0.35931111386445297,true
4,3257,0.7337155472454693,true
5,3187,0.7179464074520449,true
6,6190,1.394442504589946,true
7,6602,1.487255155945529,true
8,7501,1.6897759655782205,true
9,11984,2.699676732634235,true
10,15728,3.5431004381568125,true
11,12790,2.881247113684234,true
12,14666,3.3038600601480046,true
13,13268,2.9889278111307602,true
14,16742,3.7715276917358445,true
15,31482,7.092057985379754,true
16,27248,6.138250301303207,true
17,24422,5.5016276005001075,true
18,24027,5.41264459738007,true
19,21383,4.817021660039873,true
20,24058,5.419628073574301,true
21,25568,5.759790946261025,true
22,18700,4.212613059100483,true
23,11147,2.511122875390005,true
24,11197,2.5223865466710222,true
25,9659,2.175916018066929,true
26,9325,2.100674693909733,true
27,12458,2.8064563363782793,true
28,8654,1.9495162253184803,true
29,6846,1.5422218717968934,true
30,9565,2.154740316058616,true
31,3398,0.7654791002579381,true
32,4096,0.92271995134094,true
33,4326,0.9745328392336198,true
34,2307,0.5197057929061398,true
35,2210,0.49785427062096616,true
36,3488,0.7857537085637692,true
37,2277,0.5129475901375294,true
38,2318,0.5221838005879637,true
39,1935,0.43590407857537083,true
40,2451,0.5521451661954698,true
41,1925,0.43365134431916735,true
42,4874,1.0979826764735698,true
43,1877,0.42283821988939074,true
44,2281,0.5138486838400108,true
45,1888,0.42531622757121457,true
46,2368,0.533447471868981,true
47,1123,0.2529820569716493,true
48,3006,0.6771719174147621,true
49,672,0.15138374201687296,true
50,852,0.19193295862853538,true
51,621,0.1398947973102353,true
52,379,0.08537862831011139,true
53,788,0.17751545938883317,true
54,570,0.1284058526035976,true
55,195,0.04392831799596761,true
56,240,0.054065622148883205,true
57,173,0.038972302632319974,true
58,218,0.04910960678523558,true
59,267,0.060148004640632566,true
60,348,0.07839515211588065,true
61,52,0.011714218132258028,true
62,152,0.0342415606942927,true
63,112,0.025230623669478827,true
64,54,0.012164764983498721,true
65,53,0.011939491557878374,true
66,163,0.03671956837611651,true
67,25,0.005631835640508668,true
68,15,0.0033791013843052003,true
69,17,0.003829648235545894,true
70,91,0.02049988173145155,true
71,10,0.002252734256203467,true
72,41,0.009236210450434214,true
73,6,0.0013516405537220802,true
74,18,0.00405492166116624,true
75,9,0.00202746083058312,true
76,10,0.002252734256203467,true
77,12,0.0027032811074441604,true
78,10,0.002252734256203467,true
79,9,0.00202746083058312,true
80,7,0.0015769139793424267,true
81,10,0.002252734256203467,true
82,5,0.0011263671281017335,true
83,1,0.00022527342562034668,true
84,2,0.00045054685124069335,true
86,1,0.00022527342562034668,true
87,6,0.0013516405537220802,true
88,3,0.0006758202768610401,true
89,3,0.0006758202768610401,true
90,36,0.00810984332233248,true
91,5,0.0011263671281017335,true
92,9,0.00202746083058312,true
93,1,0.00022527342562034668,true
96,1,0.00022527342562034668,true
98,4,0.0009010937024813867,true
99,3,0.0006758202768610401,true
110,2,0.00045054685124069335,true
114,1,0.00022527342562034668,true
129,1,0.00022527342562034668,true
152,2,0.00045054685124069335,true
