value,total_count,target_count,non_target_count,percent_target_within_group,percent_of_all_records,percent_of_all_target,support_warning
Alkylresorcinols,6,0,6,0.0,0.0013516405537220802,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Amino acid glycosides,432,0,432,0.0,0.09731811986798977,0.0,NO_TARGET_POSITIVES
Aminosugars and aminoglycosides,1023,59,964,5.7673509286412505,0.23045471440961465,0.2166727873668748,
Anthranilic acid alkaloids,18340,2713,15627,14.792802617230096,4.131514625877158,9.963275798751377,
Apocarotenoids,581,0,581,0.0,0.13088386028542143,0.0,NO_TARGET_POSITIVES
Aromatic polyketides,2200,403,1797,18.31818181818182,0.4956015363647627,1.4799853103195006,
Carotenoids (C40),838,0,838,0.0,0.18877913066985053,0.0,NO_TARGET_POSITIVES
Carotenoids (C50),2,0,2,0.0,0.00045054685124069335,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Chromanes,3063,214,2849,6.986614430297094,0.6900125026751219,0.7858979067205288,
Coumarins,14023,440,13583,3.1377023461456175,3.159009247474122,1.6158648549394052,
Cyclic polyketides,1750,34,1716,1.9428571428571426,0.39422849483560674,0.12486228424531767,
Diarylheptanoids,955,0,955,0.0,0.2151361214674311,0.0,NO_TARGET_POSITIVES
Diazotetronic acids and derivatives,45,0,45,0.0,0.010137304152915602,0.0,NO_TARGET_POSITIVES
Diphenyl ethers (DPEs),141,30,111,21.27659574468085,0.03176355301246889,0.11017260374586854,
Diterpenoids,6712,1,6711,0.014898688915375446,1.512035232763767,0.0036724201248622846,LOW_TARGET_SUPPORT
Docosanoids,36,0,36,0.0,0.00810984332233248,0.0,NO_TARGET_POSITIVES
Eicosanoids,647,5,642,0.7727975270479135,0.14575190637636432,0.01836210062431142,LOW_TARGET_SUPPORT
Fatty Acids and Conjugates,7686,0,7686,0.0,1.7314515493179847,0.0,NO_TARGET_POSITIVES
Fatty acyl glycosides,357,0,357,0.0,0.08042261294646377,0.0,NO_TARGET_POSITIVES
Fatty acyls,1885,126,1759,6.684350132625995,0.42464040729435354,0.46272493573264784,
Fatty amides,2688,0,2688,0.0,0.6055349680674919,0.0,NO_TARGET_POSITIVES
Fatty esters,1698,2,1696,0.11778563015312131,0.3825142767033487,0.007344840249724569,LOW_TARGET_SUPPORT
Flavonoids,37643,897,36746,2.3829131578248277,8.479967560626712,3.2941608520014687,
Fluorenes,16,0,16,0.0,0.003604374809925547,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Glycerolipids,693,0,693,0.0,0.15611448395490027,0.0,NO_TARGET_POSITIVES
Glycerophospholipids,9759,6,9753,0.06148170919151552,2.1984433606289633,0.022034520749173704,LOW_TARGET_SUPPORT
Guanidine alkaloids,13,1,12,7.6923076923076925,0.002928554533064507,0.0036724201248622846,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Histidine alkaloids,5249,889,4360,16.93655934463707,1.1824602110812,3.2647814910025703,
Isoflavonoids,8951,332,8619,3.7090827840464753,2.016422432727723,1.2192434814542785,
Lignans,6607,83,6524,1.2562433782352052,1.4883815230736306,0.30481087036356963,
Linear polyketides,979,27,952,2.7579162410623086,0.22054268368231938,0.09915534337128168,
Lysine alkaloids,26505,1417,25088,5.346161101678929,5.97087214606729,5.203819316929857,
Macrolides,4156,331,3825,7.964388835418672,0.9362363568781609,1.215571061329416,
Meroterpenoids,1811,38,1773,2.0982882385422417,0.4079701737984479,0.1395519647447668,
Miscellaneous alkaloids,5,0,5,0.0,0.0011263671281017335,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Miscellaneous polyketides,4,0,4,0.0,0.0009010937024813867,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Mitomycin derivatives,40,0,40,0.0,0.009010937024813868,0.0,NO_TARGET_POSITIVES
Monoterpenoids,8330,62,8268,0.744297719087635,1.8765276354174882,0.22769004774146162,
Mycosporine derivatives,11,0,11,0.0,0.002478007681823814,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Naphthalenes,1536,5,1531,0.32552083333333337,0.34601998175285253,0.01836210062431142,LOW_TARGET_SUPPORT
Nicotinic acid alkaloids,62604,6823,55781,10.898664622068878,14.103017537536184,25.056922511935365,
Nucleosides,4942,153,4789,3.095912585997572,1.1133012694157534,0.5618802791039295,
Octadecanoids,386,0,386,0.0,0.08695554228945382,0.0,NO_TARGET_POSITIVES
Oligopeptides,3227,152,3075,4.710257204834211,0.7269573444768588,0.5582078589790672,
Ornithine alkaloids,11453,998,10455,8.713874094123812,2.580056543629831,3.6650752846125596,
Peptide alkaloids,4875,372,4503,7.630769230769231,1.0982079498991901,1.3661402864487697,
Phenanthrenoids,450,4,446,0.8888888888888888,0.10137304152915601,0.014689680499449138,LOW_TARGET_SUPPORT
Phenolic acids (C6-C1),8105,262,7843,3.2325724861196794,1.82584111465291,0.9621740727139184,
Phenylethanoids (C6-C2),966,0,966,0.0,0.21761412914925493,0.0,NO_TARGET_POSITIVES
Phenylpropanoids (C6-C3),7178,8,7170,0.11145165784341043,1.6170126491028485,0.029379360998898277,LOW_TARGET_SUPPORT
Phloroglucinols,469,0,469,0.0,0.10565323661594259,0.0,NO_TARGET_POSITIVES
Polycyclic aromatic polyketides,2952,239,2713,8.09620596205962,0.6650071524312634,0.877708409842086,
Polyethers,595,0,595,0.0,0.13403768824410628,0.0,NO_TARGET_POSITIVES
Polyols,767,0,767,0.0,0.1727847174508059,0.0,NO_TARGET_POSITIVES
Polyprenols,45,0,45,0.0,0.010137304152915602,0.0,NO_TARGET_POSITIVES
Proline alkaloids,254,123,131,48.4251968503937,0.05721945010756806,0.45170767535806094,
Pseudoalkaloids,19762,1408,18354,7.1247849407954655,4.451853437109291,5.170767535806096,
Saccharides,1741,20,1721,1.1487650775416427,0.39220103400502365,0.07344840249724569,
Serine alkaloids,649,81,568,12.480739599383666,0.146202453227605,0.29746603011384504,
Sesquiterpenoids,6965,48,6917,0.6891600861450108,1.5690294094457147,0.17627616599338963,
Sesterterpenoids,18,0,18,0.0,0.00405492166116624,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Small peptides,23205,1164,22041,5.016160310277957,5.227469841520145,4.274697025339699,
Sphingolipids,1919,0,1919,0.0,0.4322997037654453,0.0,NO_TARGET_POSITIVES
Steroids,24140,501,23639,2.075393537696769,5.438100494475169,1.8398824825560045,
Stilbenoids,1556,10,1546,0.6426735218508998,0.35052545026525944,0.03672420124862284,
Styrylpyrones,300,1,299,0.33333333333333337,0.06758202768610401,0.0036724201248622846,LOW_TARGET_SUPPORT
Terphenyls,232,7,225,3.0172413793103448,0.05226343474392044,0.025706940874035987,LOW_TARGET_SUPPORT
Tetramate alkaloids,985,4,981,0.40609137055837563,0.2218943242360415,0.014689680499449138,LOW_TARGET_SUPPORT
Triterpenoids,16701,80,16621,0.47901323274055446,3.7622914812854105,0.29379360998898274,
Tropolones,7,0,7,0.0,0.0015769139793424267,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Tryptophan alkaloids,42993,4592,38401,10.680808503709907,9.685180387695565,16.86375321336761,
Tyrosine alkaloids,22659,2164,20495,9.550289068361357,5.104470551131436,7.947117150201984,
Xanthones,1299,77,1222,5.9276366435719785,0.29263017988083034,0.2827763496143959,
β-lactams,1951,137,1814,7.022039979497693,0.4395084533852964,0.5031215571061329,
γ-lactam-β-lactones,8,7,1,87.5,0.0018021874049627734,0.025706940874035987,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
TOTAL_RECORDS,443905,27230,416675,6.1341953796420405,100.0,100.0,
TOTAL_ASSIGNMENTS,453774,27550,426224,6.071304217517971,102.2232234374472,101.17517443995594,
