value,total_count,target_count,non_target_count,percent_target_within_group,percent_of_all_records,percent_of_all_target,support_warning
3-HYDROXY-ACYL-AMIDES-LIBRARY,105,0,105,0.0,0.023653709690136405,0.0,NO_TARGET_POSITIVES
AASDB,93,7,86,7.526881720430108,0.020950428582692245,0.025706940874035987,LOW_TARGET_SUPPORT
BERKELEY-LAB,3396,268,3128,7.891637220259129,0.7650285534066974,0.9842085934630922,
BILELIB19,3819,0,3819,0.0,0.860319212444104,0.0,NO_TARGET_POSITIVES
BIRMINGHAM-UHPLC-MS-NEG,1,0,1,0.0,0.00022527342562034668,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
BIRMINGHAM-UHPLC-MS-POS,669,56,613,8.370702541106128,0.15070792174001194,0.2056555269922879,
BMDMS-NP,125071,2332,122739,1.8645409407456563,28.175172615762385,8.564083731178847,
CMMC-FOOD-BIOMARKERS,629,0,629,0.0,0.14169698471519807,0.0,NO_TARGET_POSITIVES
DEREPLICATOR_IDENTIFIED_LIBRARY,363,1,362,0.27548209366391185,0.08177425350018584,0.0036724201248622846,LOW_TARGET_SUPPORT
DMIM-DRUG-METABOLITE-LIBRARY,3637,258,3379,7.093758592246358,0.8193194489812009,0.9474843922144695,
ECG-ACYL-AMIDES-C4-C24-LIBRARY,719,0,719,0.0,0.1619715930210293,0.0,NO_TARGET_POSITIVES
ECG-ACYL-ESTERS-C4-C24-LIBRARY,137,0,137,0.0,0.030862459309987496,0.0,NO_TARGET_POSITIVES
ECRFS_DB,79,9,70,11.39240506329114,0.01779660062400739,0.03305178112376056,LOW_TARGET_SUPPORT
ELIXDB-LICHEN-DATABASE,519,121,398,23.314065510597302,0.11691690789695994,0.44436283510833635,
GNPS-ALKYLAMINES-BILE-ACIDS-LIBRARY,24,0,24,0.0,0.005406562214888321,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
GNPS-ALKYLAMINES-LIBRARY,2428,0,2428,0.0,0.5469638774062018,0.0,NO_TARGET_POSITIVES
GNPS-COLLECTIONS-MISC,4,0,4,0.0,0.0009010937024813867,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
GNPS-COLLECTIONS-PESTICIDES-POSITIVE,109,35,74,32.11009174311927,0.02455480339261779,0.12853470437017994,
GNPS-IIMN-PROPOGATED,145,0,145,0.0,0.03266464671495027,0.0,NO_TARGET_POSITIVES
GNPS-IOBA-NHC,90,0,90,0.0,0.020274608305831204,0.0,NO_TARGET_POSITIVES
GNPS-ION-MOBILITY-LIBRARY,9218,1288,7930,13.972662182686049,2.076570437368356,4.730077120822622,
GNPS-LIBRARY,5073,134,4939,2.6414350482948943,1.1428120881720187,0.4921042967315461,
GNPS-MSMLS,442,0,442,0.0,0.09957085412419324,0.0,NO_TARGET_POSITIVES
GNPS-NIH-CLINICALCOLLECTION1,266,38,228,14.285714285714285,0.059922731215012216,0.1395519647447668,
GNPS-NIH-CLINICALCOLLECTION2,13,4,9,30.76923076923077,0.002928554533064507,0.014689680499449138,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
GNPS-NIH-NATURALPRODUCTSLIBRARY,923,39,884,4.225352112676056,0.20792737184758,0.1432243848696291,
GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_POSITIVE,4207,58,4149,1.3786546232469692,0.9477253015847986,0.2130003672420125,
GNPS-NIH-SMALLMOLECULEPHARMACOLOGICALLYACTIVE,906,296,610,32.671081677704194,0.2040977236120341,1.0870363569592363,
GNPS-NIST14-MATCHES,2631,44,2587,1.6723679209426074,0.5926943828071322,0.1615864854939405,
GNPS-NUTRI-METAB-FEM-NEG,1964,0,1964,0.0,0.4424370079183609,0.0,NO_TARGET_POSITIVES
GNPS-NUTRI-METAB-FEM-POS,1489,0,1489,0.0,0.33543213074869627,0.0,NO_TARGET_POSITIVES
GNPS-PRESTWICKPHYTOCHEM,108,1,107,0.9259259259259258,0.024329529966997443,0.0036724201248622846,LOW_TARGET_SUPPORT
GNPS-REFRAME-DRUG-CCS-LIBRARY,1557,288,1269,18.497109826589593,0.3507507236908798,1.057656995960338,
GNPS-SAM-SIK-KANG-LEGACY-LIBRARY,49,0,49,0.0,0.01103839785539699,0.0,NO_TARGET_POSITIVES
