value,total_count,target_count,non_target_count,percent_target_within_group,percent_of_all_records,percent_of_all_target,support_warning
3-HYDROXY-ACYL-AMIDES-LIBRARY,105,0,105,0.0,0.023653709690136405,0.0,NO_TARGET_POSITIVES
AASDB,93,2,91,2.1505376344086025,0.020950428582692245,0.004951107810372571,LOW_TARGET_SUPPORT
BERKELEY-LAB,3396,147,3249,4.328621908127209,0.7650285534066974,0.36390642406238394,
BILELIB19,3819,0,3819,0.0,0.860319212444104,0.0,NO_TARGET_POSITIVES
BIRMINGHAM-UHPLC-MS-NEG,1,0,1,0.0,0.00022527342562034668,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
BIRMINGHAM-UHPLC-MS-POS,669,14,655,2.092675635276532,0.15070792174001194,0.034657754672607996,
BMDMS-NP,125071,434,124637,0.34700290235146436,28.175172615762385,1.074390394850848,
CMMC-FOOD-BIOMARKERS,629,0,629,0.0,0.14169698471519807,0.0,NO_TARGET_POSITIVES
DEREPLICATOR_IDENTIFIED_LIBRARY,363,0,363,0.0,0.08177425350018584,0.0,NO_TARGET_POSITIVES
DMIM-DRUG-METABOLITE-LIBRARY,3637,174,3463,4.784162771514985,0.8193194489812009,0.4307463795024137,
ECG-ACYL-AMIDES-C4-C24-LIBRARY,719,0,719,0.0,0.1619715930210293,0.0,NO_TARGET_POSITIVES
ECG-ACYL-ESTERS-C4-C24-LIBRARY,137,0,137,0.0,0.030862459309987496,0.0,NO_TARGET_POSITIVES
ECRFS_DB,79,7,72,8.860759493670885,0.01779660062400739,0.017328877336303998,LOW_TARGET_SUPPORT
ELIXDB-LICHEN-DATABASE,519,0,519,0.0,0.11691690789695994,0.0,NO_TARGET_POSITIVES
GNPS-ALKYLAMINES-BILE-ACIDS-LIBRARY,24,0,24,0.0,0.005406562214888321,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
GNPS-ALKYLAMINES-LIBRARY,2428,0,2428,0.0,0.5469638774062018,0.0,NO_TARGET_POSITIVES
GNPS-COLLECTIONS-MISC,4,0,4,0.0,0.0009010937024813867,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
GNPS-COLLECTIONS-PESTICIDES-POSITIVE,109,10,99,9.174311926605505,0.02455480339261779,0.024755539051862854,
GNPS-IIMN-PROPOGATED,145,0,145,0.0,0.03266464671495027,0.0,NO_TARGET_POSITIVES
GNPS-IOBA-NHC,90,0,90,0.0,0.020274608305831204,0.0,NO_TARGET_POSITIVES
GNPS-ION-MOBILITY-LIBRARY,9218,1891,7327,20.514211325667173,2.076570437368356,4.681272434707266,
GNPS-LIBRARY,5073,29,5044,0.5716538537354623,1.1428120881720187,0.07179106325040228,
GNPS-MSMLS,442,0,442,0.0,0.09957085412419324,0.0,NO_TARGET_POSITIVES
GNPS-NIH-CLINICALCOLLECTION1,266,32,234,12.030075187969924,0.059922731215012216,0.07921772496596113,
GNPS-NIH-CLINICALCOLLECTION2,13,1,12,7.6923076923076925,0.002928554533064507,0.0024755539051862854,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
GNPS-NIH-NATURALPRODUCTSLIBRARY,923,28,895,3.0335861321776814,0.20792737184758,0.06931550934521599,
GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_POSITIVE,4207,0,4207,0.0,0.9477253015847986,0.0,NO_TARGET_POSITIVES
GNPS-NIH-SMALLMOLECULEPHARMACOLOGICALLYACTIVE,906,57,849,6.291390728476822,0.2040977236120341,0.14110657259561826,
