atom_count,record_count,percent_of_formula_records,contains_target
0,403510,90.9000799720661,false
1,18601,4.190310989964069,true
2,7723,1.7397866660659376,true
3,11825,2.6638582579606,true
4,864,0.19463623973597954,true
5,417,0.09393901848368458,true
6,767,0.1727847174508059,true
7,89,0.020049334880210854,true
9,77,0.017346053772766695,true
10,7,0.0015769139793424267,true
11,3,0.0006758202768610401,true
13,15,0.0033791013843052003,true
15,2,0.00045054685124069335,true
17,5,0.0011263671281017335,true
