value,total_count,target_count,non_target_count,percent_target_within_group,percent_of_all_records,percent_of_all_target,support_warning
FourierTransform,1200,1,1199,0.08333333333333334,0.27032811074441604,16.666666666666664,LOW_TARGET_SUPPORT
IonTrap,1883,0,1883,0.0,0.42418986044311285,0.0,NO_TARGET_POSITIVES
MagneticSector,164,0,164,0.0,0.03694484180173686,0.0,NO_TARGET_POSITIVES
Orbitrap,375443,5,375438,0.0013317600807579311,84.57733073517983,83.33333333333334,LOW_TARGET_SUPPORT
Other,20499,0,20499,0.0,4.617879951791487,0.0,NO_TARGET_POSITIVES
Quadrupole,6623,0,6623,0.0,1.4919858978835563,0.0,NO_TARGET_POSITIVES
TimeOfFlight,37523,0,37523,0.0,8.45293474955227,0.0,NO_TARGET_POSITIVES
UNKNOWN,570,0,570,0.0,0.1284058526035976,0.0,NO_TARGET_POSITIVES
TOTAL_RECORDS,443905,6,443899,0.0013516405537220802,100.0,100.0,
TOTAL_ASSIGNMENTS,443905,6,443899,0.0013516405537220802,100.0,100.0,
