value,total_count,target_count,non_target_count,percent_target_within_group,percent_of_all_records,percent_of_all_target,support_warning
FourierTransform,1200,1200,0,100.0,0.27032811074441604,0.27033115566569044,
IonTrap,1883,1883,0,100.0,0.42418986044311285,0.4241946384320793,
MagneticSector,164,164,0,100.0,0.03694484180173686,0.0369452579409777,
Orbitrap,375443,375443,0,100.0,84.57733073517983,84.57828339716153,
Other,20499,20499,0,100.0,4.617879951791487,4.617931966659158,
Quadrupole,6623,6621,2,99.96980220443908,1.4919858978835563,1.4915521513854473,
TimeOfFlight,37523,37520,3,99.9920049036591,8.45293474955227,8.452354133813921,
UNKNOWN,570,570,0,100.0,0.1284058526035976,0.12840729894120298,
TOTAL_RECORDS,443905,443900,5,99.99887363287189,100.0,100.0,
TOTAL_ASSIGNMENTS,443905,443900,5,99.99887363287189,100.0,100.0,
