value,total_count,target_count,non_target_count,percent_target_within_group,percent_of_all_records,percent_of_all_target,support_warning
FourierTransform,1200,0,1200,0.0,0.27032811074441604,0.0,NO_TARGET_POSITIVES
IonTrap,1883,5,1878,0.2655337227827934,0.42418986044311285,0.37369207772795215,LOW_TARGET_SUPPORT
MagneticSector,164,0,164,0.0,0.03694484180173686,0.0,NO_TARGET_POSITIVES
Orbitrap,375443,1012,374431,0.2695482403454053,84.57733073517983,75.63527653213752,
Other,20499,144,20355,0.7024732913800673,4.617879951791487,10.762331838565023,
Quadrupole,6623,25,6598,0.37747244451155065,1.4919858978835563,1.8684603886397608,
TimeOfFlight,37523,152,37371,0.4050848812728193,8.45293474955227,11.360239162929746,
UNKNOWN,570,0,570,0.0,0.1284058526035976,0.0,NO_TARGET_POSITIVES
TOTAL_RECORDS,443905,1338,442567,0.30141584348002387,100.0,100.0,
TOTAL_ASSIGNMENTS,443905,1338,442567,0.30141584348002387,100.0,100.0,
