value,total_count,target_count,non_target_count,percent_target_within_group,percent_of_all_records,percent_of_all_target,support_warning
FourierTransform,1200,0,1200,0.0,0.27032811074441604,0.0,NO_TARGET_POSITIVES
IonTrap,1883,0,1883,0.0,0.42418986044311285,0.0,NO_TARGET_POSITIVES
MagneticSector,164,0,164,0.0,0.03694484180173686,0.0,NO_TARGET_POSITIVES
Orbitrap,375443,82,375361,0.021840865324430074,84.57733073517983,96.47058823529412,
Other,20499,0,20499,0.0,4.617879951791487,0.0,NO_TARGET_POSITIVES
Quadrupole,6623,0,6623,0.0,1.4919858978835563,0.0,NO_TARGET_POSITIVES
TimeOfFlight,37523,3,37520,0.007995096340910909,8.45293474955227,3.5294117647058822,LOW_TARGET_SUPPORT
UNKNOWN,570,0,570,0.0,0.1284058526035976,0.0,NO_TARGET_POSITIVES
TOTAL_RECORDS,443905,85,443820,0.01914824117772947,100.0,100.0,
TOTAL_ASSIGNMENTS,443905,85,443820,0.01914824117772947,100.0,100.0,
