value,total_count,target_count,non_target_count,percent_target_within_group,percent_of_all_records,percent_of_all_target,support_warning
3-HYDROXY-ACYL-AMIDES-LIBRARY,105,95,10,90.47619047619048,0.023653709690136405,0.03299928791010299,
AASDB,93,11,82,11.827956989247312,0.020950428582692245,0.003820970179064557,
BERKELEY-LAB,3396,2026,1370,59.65842167255595,0.7650285534066974,0.7037532347986175,
BILELIB19,3819,3028,791,79.28777166797592,0.860319212444104,1.0518088820188616,
BIRMINGHAM-UHPLC-MS-NEG,1,0,1,0.0,0.00022527342562034668,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
BIRMINGHAM-UHPLC-MS-POS,669,426,243,63.67713004484305,0.15070792174001194,0.14797575420740922,
BMDMS-NP,125071,31160,93911,24.9138489338056,28.175172615762385,10.823766434513782,
CMMC-FOOD-BIOMARKERS,629,292,337,46.42289348171701,0.14169698471519807,0.1014293902078955,
DEREPLICATOR_IDENTIFIED_LIBRARY,363,361,2,99.44903581267218,0.08177425350018584,0.1253972940583914,
DMIM-DRUG-METABOLITE-LIBRARY,3637,2045,1592,56.227660159472094,0.8193194489812009,0.710353092380638,
ECG-ACYL-AMIDES-C4-C24-LIBRARY,719,719,0,100.0,0.1619715930210293,0.24975250534067422,
ECG-ACYL-ESTERS-C4-C24-LIBRARY,137,0,137,0.0,0.030862459309987496,0.0,NO_TARGET_POSITIVES
ECRFS_DB,79,46,33,58.22784810126582,0.01779660062400739,0.01597860256699724,
ELIXDB-LICHEN-DATABASE,519,3,516,0.5780346820809248,0.11691690789695994,0.0010420827761085155,LOW_TARGET_SUPPORT
GNPS-ALKYLAMINES-BILE-ACIDS-LIBRARY,24,24,0,100.0,0.005406562214888321,0.008336662208868124,LOW_TOTAL_SUPPORT
GNPS-ALKYLAMINES-LIBRARY,2428,2428,0,100.0,0.5469638774062018,0.8433923267971586,
GNPS-COLLECTIONS-MISC,4,3,1,75.0,0.0009010937024813867,0.0010420827761085155,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
GNPS-COLLECTIONS-PESTICIDES-POSITIVE,109,91,18,83.4862385321101,0.02455480339261779,0.03160984420862497,
GNPS-IIMN-PROPOGATED,145,49,96,33.793103448275865,0.03266464671495027,0.017020685343105753,
GNPS-IOBA-NHC,90,52,38,57.77777777777777,0.020274608305831204,0.01806276811921427,
