value,total_count,target_count,non_target_count,percent_target_within_group,percent_of_all_records,percent_of_all_target,support_warning
FourierTransform,1200,923,277,76.91666666666667,0.27032811074441604,0.32061413411605333,
IonTrap,1883,995,888,52.84121083377589,0.42418986044311285,0.34562412074265764,
MagneticSector,164,0,164,0.0,0.03694484180173686,0.0,NO_TARGET_POSITIVES
Orbitrap,375443,243623,131820,64.8894772308979,84.57733073517983,84.62511072129496,
Other,20499,14024,6475,68.41309332162544,4.617879951791487,4.871389617381941,
Quadrupole,6623,4298,2325,64.89506266042578,1.4919858978835563,1.4929572572381333,
TimeOfFlight,37523,23553,13970,62.76950137249154,8.45293474955227,8.181391875227956,
UNKNOWN,570,469,101,82.28070175438596,0.1284058526035976,0.16291227399829794,
TOTAL_RECORDS,443905,287885,156020,64.8528401347135,100.0,100.0,
TOTAL_ASSIGNMENTS,443905,287885,156020,64.8528401347135,100.0,100.0,
