value,total_count,target_count,non_target_count,percent_target_within_group,percent_of_all_records,percent_of_all_target,support_warning
Alkylresorcinols,6,6,0,100.0,0.0013516405537220802,0.001398516640017155,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Amino acid glycosides,432,432,0,100.0,0.09731811986798977,0.10069319808123517,
Aminosugars and aminoglycosides,1023,1023,0,100.0,0.23045471440961465,0.23844708712292495,
Anthranilic acid alkaloids,18340,16806,1534,91.63576881134134,4.131514625877158,3.9172451086880513,
Apocarotenoids,581,581,0,100.0,0.13088386028542143,0.13542302797499453,
Aromatic polyketides,2200,2123,77,96.5,0.4956015363647627,0.4948418044594034,
Carotenoids (C40),838,657,181,78.40095465393794,0.18877913066985053,0.15313757208187848,
Carotenoids (C50),2,2,0,100.0,0.00045054685124069335,0.0004661722133390517,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Chromanes,3063,3063,0,100.0,0.6900125026751219,0.7139427447287577,
Coumarins,14023,14023,0,100.0,3.159009247474122,3.268566473826761,
Cyclic polyketides,1750,1750,0,100.0,0.39422849483560674,0.40790068667167023,
Diarylheptanoids,955,955,0,100.0,0.2151361214674311,0.2225972318693972,
Diazotetronic acids and derivatives,45,45,0,100.0,0.010137304152915602,0.010488874800128663,
Diphenyl ethers (DPEs),141,140,1,99.29078014184397,0.03176355301246889,0.03263205493373362,
Diterpenoids,6712,6699,13,99.80631704410013,1.512035232763767,1.5614438285791539,
Docosanoids,36,36,0,100.0,0.00810984332233248,0.00839109984010293,
Eicosanoids,647,647,0,100.0,0.14575190637636432,0.15080671101518323,
Fatty Acids and Conjugates,7686,7686,0,100.0,1.7314515493179847,1.7914998158619757,
Fatty acyl glycosides,357,357,0,100.0,0.08042261294646377,0.08321174008102074,
Fatty acyls,1885,1191,694,63.183023872679044,0.42464040729435354,0.2776055530434053,
Fatty amides,2688,2688,0,100.0,0.6055349680674919,0.6265354547276855,
Fatty esters,1698,1675,23,98.64546525323911,0.3825142767033487,0.39041922867145584,
Flavonoids,37643,37371,272,99.27742209706985,8.479967560626712,8.710660892346851,
Fluorenes,16,16,0,100.0,0.003604374809925547,0.0037293777067124137,LOW_TOTAL_SUPPORT
Glycerolipids,693,693,0,100.0,0.15611448395490027,0.16152867192198142,
Glycerophospholipids,9759,9759,0,100.0,2.1984433606289633,2.2746873149879026,
Guanidine alkaloids,13,8,5,61.53846153846154,0.002928554533064507,0.0018646888533562069,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Histidine alkaloids,5249,4590,659,87.44522766241188,1.1824602110812,1.0698652296131237,
Isoflavonoids,8951,8951,0,100.0,2.016422432727723,2.0863537407989257,
Lignans,6607,6607,0,100.0,1.4883815230736306,1.5399999067655572,
Linear polyketides,979,978,1,99.89785495403473,0.22054268368231938,0.2279582123227963,
Lysine alkaloids,26505,25445,1060,96.00075457460856,5.97087214606729,5.930875984206086,
Macrolides,4156,4156,0,100.0,0.9362363568781609,0.9687058593185494,
Meroterpenoids,1811,1809,2,99.88956377691883,0.4079701737984479,0.42165276696517223,
Miscellaneous alkaloids,5,5,0,100.0,0.0011263671281017335,0.0011654305333476294,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Miscellaneous polyketides,4,4,0,100.0,0.0009010937024813867,0.0009323444266781034,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Mitomycin derivatives,40,40,0,100.0,0.009010937024813868,0.009323444266781035,
Monoterpenoids,8330,7686,644,92.26890756302521,1.8765276354174882,1.7914998158619757,
Mycosporine derivatives,11,11,0,100.0,0.002478007681823814,0.0025639471733647843,LOW_TOTAL_SUPPORT
Naphthalenes,1536,1536,0,100.0,0.34601998175285253,0.3580202598443917,
Nicotinic acid alkaloids,62604,59549,3055,95.12012012012012,14.103017537536184,13.880044566063596,
Nucleosides,4942,4942,0,100.0,1.1133012694157534,1.1519115391607968,
Octadecanoids,386,386,0,100.0,0.08695554228945382,0.08997123717443697,
Oligopeptides,3227,3227,0,100.0,0.7269573444768588,0.75216886622256,
Ornithine alkaloids,11453,10689,764,93.32925870950842,2.580056543629831,2.491457394190562,
Peptide alkaloids,4875,4768,107,97.8051282051282,1.0982079498991901,1.1113545566002994,
Phenanthrenoids,450,339,111,75.33333333333333,0.10137304152915601,0.07901619016096927,
Phenolic acids (C6-C1),8105,8105,0,100.0,1.82584111465291,1.889162894556507,
Phenylethanoids (C6-C2),966,966,0,100.0,0.21761412914925493,0.22516117904276198,
Phenylpropanoids (C6-C3),7178,7176,2,99.97213708553915,1.6170126491028485,1.6726259014605176,
Phloroglucinols,469,469,0,100.0,0.10565323661594259,0.10931738402800763,
Polycyclic aromatic polyketides,2952,2866,86,97.08672086720867,0.6650071524312634,0.6680247817148611,
Polyethers,595,595,0,100.0,0.13403768824410628,0.13868623346836786,
Polyols,767,767,0,100.0,0.1727847174508059,0.17877704381552634,
Polyprenols,45,45,0,100.0,0.010137304152915602,0.010488874800128663,
Proline alkaloids,254,218,36,85.8267716535433,0.05721945010756806,0.05081277125395663,
Pseudoalkaloids,19762,17696,2066,89.5455925513612,4.451853437109291,4.12469174362393,
Saccharides,1741,1741,0,100.0,0.39220103400502365,0.4058029117116445,
Serine alkaloids,649,614,35,94.60708782742681,0.146202453227605,0.1431148694950889,
Sesquiterpenoids,6965,6623,342,95.08973438621679,1.5690294094457147,1.5437292844722699,
Sesterterpenoids,18,18,0,100.0,0.00405492166116624,0.004195549920051465,LOW_TOTAL_SUPPORT
Small peptides,23205,22882,323,98.60805860805861,5.227469841520145,5.333476292812091,
Sphingolipids,1919,1919,0,100.0,0.4322997037654453,0.44729223869882007,
Steroids,24140,24129,11,99.95443247721624,5.438100494475169,5.624134667828989,
Stilbenoids,1556,1556,0,100.0,0.35052545026525944,0.36268198197778223,
Styrylpyrones,300,300,0,100.0,0.06758202768610401,0.06992583200085777,
Terphenyls,232,231,1,99.56896551724138,0.05226343474392044,0.05384289064066047,
Tetramate alkaloids,985,893,92,90.65989847715737,0.2218943242360415,0.20814589325588662,
Triterpenoids,16701,16620,81,99.5149991018502,3.7622914812854105,3.8738910928475194,
Tropolones,7,7,0,100.0,0.0015769139793424267,0.0016316027466866808,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Tryptophan alkaloids,42993,40929,2064,95.19921847742656,9.685180387695565,9.539981259877024,
Tyrosine alkaloids,22659,21649,1010,95.54261000044133,5.104470551131436,5.046081123288565,
Xanthones,1299,1299,0,100.0,0.29263017988083034,0.3027788525637141,
β-lactams,1951,1951,0,100.0,0.4395084533852964,0.454750994112245,
γ-lactam-β-lactones,8,8,0,100.0,0.0018021874049627734,0.0018646888533562069,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
TOTAL_RECORDS,443905,429026,14879,96.64815670019486,100.0,100.0,
TOTAL_ASSIGNMENTS,453774,438422,15352,96.61681806361757,102.2232234374472,102.19007705826687,
