value,total_count,target_count,non_target_count,percent_target_within_group,percent_of_all_records,percent_of_all_target,support_warning
3-HYDROXY-ACYL-AMIDES-LIBRARY,105,105,0,100.0,0.023653709690136405,0.024474041200300216,
AASDB,93,93,0,100.0,0.020950428582692245,0.021677007920265907,
BERKELEY-LAB,3396,3320,76,97.7620730270907,0.7650285534066974,0.7738458741428258,
BILELIB19,3819,3819,0,100.0,0.860319212444104,0.8901558413709192,
BIRMINGHAM-UHPLC-MS-NEG,1,1,0,100.0,0.00022527342562034668,0.00023308610666952586,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
BIRMINGHAM-UHPLC-MS-POS,669,645,24,96.41255605381166,0.15070792174001194,0.15034053880184417,
BMDMS-NP,125071,122780,2291,98.1682404394304,28.175172615762385,28.618312176884388,
CMMC-FOOD-BIOMARKERS,629,613,16,97.45627980922097,0.14169698471519807,0.14288178338841934,
DEREPLICATOR_IDENTIFIED_LIBRARY,363,363,0,100.0,0.08177425350018584,0.08461025672103789,
DMIM-DRUG-METABOLITE-LIBRARY,3637,3387,250,93.12620291448997,0.8193194489812009,0.789462643289684,
ECG-ACYL-AMIDES-C4-C24-LIBRARY,719,719,0,100.0,0.1619715930210293,0.1675889106953891,
ECG-ACYL-ESTERS-C4-C24-LIBRARY,137,137,0,100.0,0.030862459309987496,0.03193279661372504,
ECRFS_DB,79,64,15,81.0126582278481,0.01779660062400739,0.014917510826849655,
ELIXDB-LICHEN-DATABASE,519,519,0,100.0,0.11691690789695994,0.12097168936148392,
GNPS-ALKYLAMINES-BILE-ACIDS-LIBRARY,24,19,5,79.16666666666666,0.005406562214888321,0.004428636026720991,LOW_TOTAL_SUPPORT
GNPS-ALKYLAMINES-LIBRARY,2428,2071,357,85.29654036243822,0.5469638774062018,0.48272132691258807,
GNPS-COLLECTIONS-MISC,4,4,0,100.0,0.0009010937024813867,0.0009323444266781034,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
GNPS-COLLECTIONS-PESTICIDES-POSITIVE,109,96,13,88.07339449541286,0.02455480339261779,0.02237626624027448,
GNPS-IIMN-PROPOGATED,145,145,0,100.0,0.03266464671495027,0.03379748546708125,
GNPS-IOBA-NHC,90,90,0,100.0,0.020274608305831204,0.020977749600257327,
