atom_count,record_count,percent_of_formula_records,contains_target
0,14879,3.3518432998051386,false
1,42341,9.538302114191099,true
2,83688,18.852682443315576,true
3,75481,17.00386343924939,true
4,56554,12.740113312533087,true
5,36384,8.196348317770694,true
6,28799,6.487649384440365,true
7,19820,4.464919295795271,true
8,19173,4.319167389418907,true
9,9547,2.15068539439745,true
10,9870,2.223448710872822,true
11,8517,1.9186537660084928,true
12,6821,1.536590036156385,true
13,5719,1.2883387211227626,true
14,5511,1.2414818485937307,true
15,4507,1.0153073292709025,true
16,4175,0.9405165519649474,true
17,1594,0.3590858404388326,true
18,2336,0.5262387222491299,true
19,2400,0.5406562214888321,true
20,1201,0.2705533841700364,true
21,646,0.14552663295074397,true
22,992,0.22347123821538392,true
23,580,0.13065858685980108,true
24,731,0.16467487412847343,true
25,230,0.051812887892679745,true
26,267,0.060148004640632566,true
27,187,0.04212613059100483,true
28,85,0.01914824117772947,true
29,190,0.042801950867865875,true
30,129,0.029060271905024724,true
31,111,0.025005350243858485,true
32,121,0.027258084500061952,true
33,45,0.010137304152915602,true
34,5,0.0011263671281017335,true
35,13,0.002928554533064507,true
36,48,0.010813124429776642,true
37,81,0.018247147475248082,true
38,3,0.0006758202768610401,true
39,3,0.0006758202768610401,true
40,14,0.0031538279586848534,true
41,43,0.009686757301674908,true
42,1,0.00022527342562034668,true
43,3,0.0006758202768610401,true
44,3,0.0006758202768610401,true
45,12,0.0027032811074441604,true
46,33,0.0074340230454714405,true
48,1,0.00022527342562034668,true
50,9,0.00202746083058312,true
53,1,0.00022527342562034668,true
54,1,0.00022527342562034668,true
