value,total_count,target_count,non_target_count,percent_target_within_group,percent_of_all_records,percent_of_all_target,support_warning
Alkylresorcinols,6,0,6,0.0,0.0013516405537220802,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Amino acid glycosides,432,0,432,0.0,0.09731811986798977,0.0,NO_TARGET_POSITIVES
Aminosugars and aminoglycosides,1023,142,881,13.880742913000976,0.23045471440961465,0.9147127029116208,
Anthranilic acid alkaloids,18340,85,18255,0.46346782988004365,4.131514625877158,0.5475392939963927,
Apocarotenoids,581,0,581,0.0,0.13088386028542143,0.0,NO_TARGET_POSITIVES
Aromatic polyketides,2200,51,2149,2.3181818181818183,0.4956015363647627,0.3285235763978356,
Carotenoids (C40),838,0,838,0.0,0.18877913066985053,0.0,NO_TARGET_POSITIVES
Carotenoids (C50),2,0,2,0.0,0.00045054685124069335,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Chromanes,3063,0,3063,0.0,0.6900125026751219,0.0,NO_TARGET_POSITIVES
Coumarins,14023,50,13973,0.3565570847892747,3.159009247474122,0.32208193764493687,
Cyclic polyketides,1750,0,1750,0.0,0.39422849483560674,0.0,NO_TARGET_POSITIVES
Diarylheptanoids,955,0,955,0.0,0.2151361214674311,0.0,NO_TARGET_POSITIVES
Diazotetronic acids and derivatives,45,0,45,0.0,0.010137304152915602,0.0,NO_TARGET_POSITIVES
Diphenyl ethers (DPEs),141,20,121,14.184397163120568,0.03176355301246889,0.12883277505797475,
Diterpenoids,6712,2,6710,0.02979737783075089,1.512035232763767,0.012883277505797475,LOW_TARGET_SUPPORT
Docosanoids,36,0,36,0.0,0.00810984332233248,0.0,NO_TARGET_POSITIVES
Eicosanoids,647,0,647,0.0,0.14575190637636432,0.0,NO_TARGET_POSITIVES
Fatty Acids and Conjugates,7686,43,7643,0.5594587561800677,1.7314515493179847,0.27699046637464575,
Fatty acyl glycosides,357,0,357,0.0,0.08042261294646377,0.0,NO_TARGET_POSITIVES
Fatty acyls,1885,311,1574,16.49867374005305,0.42464040729435354,2.003349652151507,
Fatty amides,2688,0,2688,0.0,0.6055349680674919,0.0,NO_TARGET_POSITIVES
Fatty esters,1698,140,1558,8.244994110718492,0.3825142767033487,0.9018294254058232,
Flavonoids,37643,121,37522,0.3214409053476078,8.479967560626712,0.7794382891007473,
Fluorenes,16,0,16,0.0,0.003604374809925547,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Glycerolipids,693,0,693,0.0,0.15611448395490027,0.0,NO_TARGET_POSITIVES
Glycerophospholipids,9759,9745,14,99.85654267855313,2.1984433606289633,62.773769646998204,
Guanidine alkaloids,13,0,13,0.0,0.002928554533064507,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Histidine alkaloids,5249,0,5249,0.0,1.1824602110812,0.0,NO_TARGET_POSITIVES
Isoflavonoids,8951,0,8951,0.0,2.016422432727723,0.0,NO_TARGET_POSITIVES
Lignans,6607,19,6588,0.2875737853791433,1.4883815230736306,0.122391136305076,
Linear polyketides,979,1,978,0.10214504596527069,0.22054268368231938,0.006441638752898738,LOW_TARGET_SUPPORT
Lysine alkaloids,26505,21,26484,0.07923033389926429,5.97087214606729,0.1352744138108735,
Macrolides,4156,1,4155,0.024061597690086624,0.9362363568781609,0.006441638752898738,LOW_TARGET_SUPPORT
Meroterpenoids,1811,0,1811,0.0,0.4079701737984479,0.0,NO_TARGET_POSITIVES
Miscellaneous alkaloids,5,0,5,0.0,0.0011263671281017335,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Miscellaneous polyketides,4,0,4,0.0,0.0009010937024813867,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Mitomycin derivatives,40,0,40,0.0,0.009010937024813868,0.0,NO_TARGET_POSITIVES
Monoterpenoids,8330,62,8268,0.744297719087635,1.8765276354174882,0.3993816026797217,
Mycosporine derivatives,11,0,11,0.0,0.002478007681823814,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Naphthalenes,1536,0,1536,0.0,0.34601998175285253,0.0,NO_TARGET_POSITIVES
Nicotinic acid alkaloids,62604,461,62143,0.7363746725448853,14.103017537536184,2.969595465086318,
Nucleosides,4942,1278,3664,25.859975718332656,1.1133012694157534,8.232414326204585,
Octadecanoids,386,0,386,0.0,0.08695554228945382,0.0,NO_TARGET_POSITIVES
Oligopeptides,3227,5,3222,0.15494267121165167,0.7269573444768588,0.03220819376449369,LOW_TARGET_SUPPORT
Ornithine alkaloids,11453,106,11347,0.9255216973718677,2.580056543629831,0.6828137078072661,
Peptide alkaloids,4875,38,4837,0.7794871794871795,1.0982079498991901,0.244782272610152,
Phenanthrenoids,450,2,448,0.4444444444444444,0.10137304152915601,0.012883277505797475,LOW_TARGET_SUPPORT
Phenolic acids (C6-C1),8105,149,7956,1.8383713756940159,1.82584111465291,0.9598041741819118,
Phenylethanoids (C6-C2),966,0,966,0.0,0.21761412914925493,0.0,NO_TARGET_POSITIVES
Phenylpropanoids (C6-C3),7178,15,7163,0.20897185845639454,1.6170126491028485,0.09662458129348106,
Phloroglucinols,469,0,469,0.0,0.10565323661594259,0.0,NO_TARGET_POSITIVES
Polycyclic aromatic polyketides,2952,2,2950,0.06775067750677506,0.6650071524312634,0.012883277505797475,LOW_TARGET_SUPPORT
Polyethers,595,0,595,0.0,0.13403768824410628,0.0,NO_TARGET_POSITIVES
Polyols,767,390,377,50.847457627118644,0.1727847174508059,2.512239113630508,
Polyprenols,45,0,45,0.0,0.010137304152915602,0.0,NO_TARGET_POSITIVES
Proline alkaloids,254,0,254,0.0,0.05721945010756806,0.0,NO_TARGET_POSITIVES
Pseudoalkaloids,19762,414,19348,2.094929662989576,4.451853437109291,2.6668384437000774,
Saccharides,1741,193,1548,11.085582998276852,0.39220103400502365,1.2432362793094562,
Serine alkaloids,649,0,649,0.0,0.146202453227605,0.0,NO_TARGET_POSITIVES
Sesquiterpenoids,6965,5,6960,0.07178750897343862,1.5690294094457147,0.03220819376449369,LOW_TARGET_SUPPORT
Sesterterpenoids,18,0,18,0.0,0.00405492166116624,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Small peptides,23205,207,22998,0.8920491273432449,5.227469841520145,1.3334192218500387,
Sphingolipids,1919,1105,814,57.582073996873376,0.4322997037654453,7.1180108219531055,
Steroids,24140,129,24011,0.5343827671913836,5.438100494475169,0.8309713991239371,
Stilbenoids,1556,12,1544,0.7712082262210797,0.35052545026525944,0.07729966503478485,
Styrylpyrones,300,0,300,0.0,0.06758202768610401,0.0,NO_TARGET_POSITIVES
Terphenyls,232,5,227,2.1551724137931036,0.05226343474392044,0.03220819376449369,LOW_TARGET_SUPPORT
Tetramate alkaloids,985,59,926,5.98984771573604,0.2218943242360415,0.3800566864210255,
Triterpenoids,16701,0,16701,0.0,3.7622914812854105,0.0,NO_TARGET_POSITIVES
Tropolones,7,7,0,100.0,0.0015769139793424267,0.04509147127029116,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Tryptophan alkaloids,42993,120,42873,0.2791152048007815,9.685180387695565,0.7729966503478485,
Tyrosine alkaloids,22659,31,22628,0.13681098018447416,5.104470551131436,0.19969080133986086,
Xanthones,1299,0,1299,0.0,0.29263017988083034,0.0,NO_TARGET_POSITIVES
β-lactams,1951,5,1946,0.2562788313685289,0.4395084533852964,0.03220819376449369,LOW_TARGET_SUPPORT
γ-lactam-β-lactones,8,0,8,0.0,0.0018021874049627734,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
TOTAL_RECORDS,443905,15524,428381,3.497144659330262,100.0,100.0,
TOTAL_ASSIGNMENTS,453774,15552,438222,3.4272567401393643,102.2232234374472,100.18036588508117,
