value,total_count,target_count,non_target_count,percent_target_within_group,percent_of_all_records,percent_of_all_target,support_warning
3-HYDROXY-ACYL-AMIDES-LIBRARY,105,0,105,0.0,0.023653709690136405,0.0,NO_TARGET_POSITIVES
AASDB,93,0,93,0.0,0.020950428582692245,0.0,NO_TARGET_POSITIVES
BERKELEY-LAB,3396,4,3392,0.11778563015312131,0.7650285534066974,0.02576655501159495,LOW_TARGET_SUPPORT
BILELIB19,3819,0,3819,0.0,0.860319212444104,0.0,NO_TARGET_POSITIVES
BIRMINGHAM-UHPLC-MS-NEG,1,0,1,0.0,0.00022527342562034668,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
BIRMINGHAM-UHPLC-MS-POS,669,61,608,9.118086696562033,0.15070792174001194,0.39293996392682295,
BMDMS-NP,125071,674,124397,0.5388939082601083,28.175172615762385,4.341664519453749,
CMMC-FOOD-BIOMARKERS,629,14,615,2.2257551669316373,0.14169698471519807,0.09018294254058232,
DEREPLICATOR_IDENTIFIED_LIBRARY,363,0,363,0.0,0.08177425350018584,0.0,NO_TARGET_POSITIVES
DMIM-DRUG-METABOLITE-LIBRARY,3637,15,3622,0.41242782513060217,0.8193194489812009,0.09662458129348106,
ECG-ACYL-AMIDES-C4-C24-LIBRARY,719,0,719,0.0,0.1619715930210293,0.0,NO_TARGET_POSITIVES
ECG-ACYL-ESTERS-C4-C24-LIBRARY,137,0,137,0.0,0.030862459309987496,0.0,NO_TARGET_POSITIVES
ECRFS_DB,79,8,71,10.126582278481013,0.01779660062400739,0.0515331100231899,LOW_TARGET_SUPPORT
ELIXDB-LICHEN-DATABASE,519,0,519,0.0,0.11691690789695994,0.0,NO_TARGET_POSITIVES
GNPS-ALKYLAMINES-BILE-ACIDS-LIBRARY,24,1,23,4.166666666666666,0.005406562214888321,0.006441638752898738,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
GNPS-ALKYLAMINES-LIBRARY,2428,59,2369,2.42998352553542,0.5469638774062018,0.3800566864210255,
GNPS-COLLECTIONS-MISC,4,1,3,25.0,0.0009010937024813867,0.006441638752898738,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
GNPS-COLLECTIONS-PESTICIDES-POSITIVE,109,4,105,3.669724770642202,0.02455480339261779,0.02576655501159495,LOW_TARGET_SUPPORT
GNPS-IIMN-PROPOGATED,145,1,144,0.6896551724137931,0.03266464671495027,0.006441638752898738,LOW_TARGET_SUPPORT
GNPS-IOBA-NHC,90,52,38,57.77777777777777,0.020274608305831204,0.33496521515073435,
GNPS-ION-MOBILITY-LIBRARY,9218,218,9000,2.3649381644608374,2.076570437368356,1.4042772481319248,
GNPS-LIBRARY,5073,120,4953,2.365464222353637,1.1428120881720187,0.7729966503478485,
GNPS-MSMLS,442,74,368,16.7420814479638,0.09957085412419324,0.47668126771450653,
GNPS-NIH-CLINICALCOLLECTION1,266,0,266,0.0,0.059922731215012216,0.0,NO_TARGET_POSITIVES
