value,total_count,target_count,non_target_count,percent_target_within_group,percent_of_all_records,percent_of_all_target,support_warning
FourierTransform,1200,86,1114,7.166666666666667,0.27032811074441604,0.5539809327492915,
IonTrap,1883,167,1716,8.8688263409453,0.42418986044311285,1.0757536717340892,
MagneticSector,164,0,164,0.0,0.03694484180173686,0.0,NO_TARGET_POSITIVES
Orbitrap,375443,12995,362448,3.461244449889864,84.57733073517983,83.70909559391909,
Other,20499,938,19561,4.575832967461827,4.617879951791487,6.042257150219016,
Quadrupole,6623,527,6096,7.957119130303488,1.4919858978835563,3.3947436227776344,
TimeOfFlight,37523,810,36713,2.158676012045945,8.45293474955227,5.217727389847977,
UNKNOWN,570,1,569,0.17543859649122806,0.1284058526035976,0.006441638752898738,LOW_TARGET_SUPPORT
TOTAL_RECORDS,443905,15524,428381,3.497144659330262,100.0,100.0,
TOTAL_ASSIGNMENTS,443905,15524,428381,3.497144659330262,100.0,100.0,
