value,total_count,target_count,non_target_count,percent_target_within_group,percent_of_all_records,percent_of_all_target,support_warning
12-oxophytodienoic acid metabolites,4,0,4,0.0,0.0009010937024813867,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
2-arylbenzofurans,81,7,74,8.641975308641975,0.018247147475248082,0.012502902459499525,LOW_TARGET_SUPPORT
2-pyrone derivatives,530,16,514,3.018867924528302,0.11939491557878375,0.028578062764570346,
3-Decalinoyltetramic acids,34,0,34,0.0,0.007659296471091788,0.0,NO_TARGET_POSITIVES
3-Spirotetramic acids,13,0,13,0.0,0.002928554533064507,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
3-oligoenoyltetramic acids,6,0,6,0.0,0.0013516405537220802,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
4-pyrone derivatives,173,4,169,2.312138728323699,0.038972302632319974,0.0071445156911425865,LOW_TARGET_SUPPORT
Abeoabietane diterpenoids,152,0,152,0.0,0.0342415606942927,0.0,NO_TARGET_POSITIVES
Abeolupane triterpenoids,1,0,1,0.0,0.00022527342562034668,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Abeotaxane diterpenoids,1,0,1,0.0,0.00022527342562034668,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Abietane diterpenoids,885,9,876,1.0169491525423728,0.19936698167400685,0.01607516030507082,LOW_TARGET_SUPPORT
Acetate-derived alkaloids,56,0,56,0.0,0.012615311834739414,0.0,NO_TARGET_POSITIVES
Acetogenins,116,0,116,0.0,0.02613171737196022,0.0,NO_TARGET_POSITIVES
Acorane sesquiterpenoids,9,0,9,0.0,0.00202746083058312,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Acridone alkaloids,2151,229,1922,10.646211064621108,0.4845631385093657,0.4090235233179131,
Actinomycins,27,0,27,0.0,0.006082382491749361,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Acyclic guanidine alkaloids,5,0,5,0.0,0.0011263671281017335,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Acyclic monoterpenoids,1346,19,1327,1.411589895988113,0.30321803088498667,0.033936449532927286,
Acyclic triterpenoids,89,0,89,0.0,0.020049334880210854,0.0,NO_TARGET_POSITIVES
Acyl phloroglucinols,399,17,382,4.260651629072681,0.08988409682251833,0.030364191687355994,
Aeruginosins,1,0,1,0.0,0.00022527342562034668,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Aflatoxins,88,0,88,0.0,0.01982406145459051,0.0,NO_TARGET_POSITIVES
Africanane sesquiterpenoids,2,0,2,0.0,0.00045054685124069335,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Agarofuran sesquiterpenoids,192,0,192,0.0,0.04325249771910657,0.0,NO_TARGET_POSITIVES
Ahp-containing cyclodepsipeptides,20,0,20,0.0,0.004505468512406934,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Allohimachalane sesquiterpenoids,1,0,1,0.0,0.00022527342562034668,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Amarylidaceae alkaloids,1224,70,1154,5.718954248366013,0.27573467295930437,0.12502902459499526,
Amino cyclitols,354,19,335,5.367231638418079,0.07974679266960273,0.033936449532927286,
Amino fatty acids,88,2,86,2.272727272727273,0.01982406145459051,0.0035722578455712932,LOW_TARGET_SUPPORT
Aminoacids,12822,2767,10055,21.58009670878178,2.8884558633040855,4.942218729347885,
Aminoglycosides,183,19,164,10.382513661202186,0.04122503688852344,0.033936449532927286,
Aminosugars,840,19,821,2.261904761904762,0.18922967752109124,0.033936449532927286,
Amphilectane diterpenoids,2,0,2,0.0,0.00045054685124069335,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Anabaenopeptins,29,0,29,0.0,0.006532929342990055,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Androstane steroids,1638,77,1561,4.700854700854701,0.3689978711661279,0.1375319270544948,
