value,total_count,target_count,non_target_count,percent_target_within_group,percent_of_all_records,percent_of_all_target,support_warning
Alkylresorcinols,6,0,6,0.0,0.0013516405537220802,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Amino acid glycosides,432,259,173,59.95370370370371,0.09731811986798977,0.4626073910014825,
Aminosugars and aminoglycosides,1023,38,985,3.714565004887586,0.23045471440961465,0.06787289906585457,
Anthranilic acid alkaloids,18340,2764,15576,15.070883315158124,4.131514625877158,4.936860342579527,
Apocarotenoids,581,0,581,0.0,0.13088386028542143,0.0,NO_TARGET_POSITIVES
Aromatic polyketides,2200,65,2135,2.9545454545454546,0.4956015363647627,0.11609837998106703,
Carotenoids (C40),838,0,838,0.0,0.18877913066985053,0.0,NO_TARGET_POSITIVES
Carotenoids (C50),2,0,2,0.0,0.00045054685124069335,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Chromanes,3063,266,2797,8.684296441397322,0.6900125026751219,0.475110293460982,
Coumarins,14023,391,13632,2.7882764030521288,3.159009247474122,0.6983764088091878,
Cyclic polyketides,1750,172,1578,9.828571428571427,0.39422849483560674,0.3072141747191312,
Diarylheptanoids,955,7,948,0.7329842931937173,0.2151361214674311,0.012502902459499525,LOW_TARGET_SUPPORT
Diazotetronic acids and derivatives,45,0,45,0.0,0.010137304152915602,0.0,NO_TARGET_POSITIVES
Diphenyl ethers (DPEs),141,0,141,0.0,0.03176355301246889,0.0,NO_TARGET_POSITIVES
Diterpenoids,6712,134,6578,1.9964243146603098,1.512035232763767,0.23934127565327667,
Docosanoids,36,0,36,0.0,0.00810984332233248,0.0,NO_TARGET_POSITIVES
Eicosanoids,647,5,642,0.7727975270479135,0.14575190637636432,0.008930644613928234,LOW_TARGET_SUPPORT
Fatty Acids and Conjugates,7686,114,7572,1.483216237314598,1.7314515493179847,0.20361869719756373,
Fatty acyl glycosides,357,0,357,0.0,0.08042261294646377,0.0,NO_TARGET_POSITIVES
Fatty acyls,1885,215,1670,11.405835543766578,0.42464040729435354,0.3840177183989141,
Fatty amides,2688,199,2489,7.403273809523809,0.6055349680674919,0.3554396556343437,
Fatty esters,1698,184,1514,10.836277974087162,0.3825142767033487,0.32864772179255897,
Flavonoids,37643,623,37020,1.6550221820790054,8.479967560626712,1.112758318895458,
Fluorenes,16,0,16,0.0,0.003604374809925547,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Glycerolipids,693,0,693,0.0,0.15611448395490027,0.0,NO_TARGET_POSITIVES
Glycerophospholipids,9759,23,9736,0.23567988523414285,2.1984433606289633,0.04108096522406987,
Guanidine alkaloids,13,8,5,61.53846153846154,0.002928554533064507,0.014289031382285173,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Histidine alkaloids,5249,1338,3911,25.490569632310915,1.1824602110812,2.3898404986871955,
Isoflavonoids,8951,28,8923,0.3128142107027148,2.016422432727723,0.0500116098379981,
Lignans,6607,107,6500,1.6194944755562282,1.4883815230736306,0.1911157947380642,
Linear polyketides,979,49,930,5.005107252298264,0.22054268368231938,0.08752031721649668,
Lysine alkaloids,26505,7485,19020,28.239954725523486,5.97087214606729,13.369174987050567,
Macrolides,4156,167,3989,4.018286814244465,0.9362363568781609,0.298283530105203,
Meroterpenoids,1811,34,1777,1.8774157923799006,0.4079701737984479,0.06072838337471199,
Miscellaneous alkaloids,5,0,5,0.0,0.0011263671281017335,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Miscellaneous polyketides,4,0,4,0.0,0.0009010937024813867,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Mitomycin derivatives,40,0,40,0.0,0.009010937024813868,0.0,NO_TARGET_POSITIVES
Monoterpenoids,8330,513,7817,6.158463385354142,1.8765276354174882,0.9162841373890368,
Mycosporine derivatives,11,0,11,0.0,0.002478007681823814,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Naphthalenes,1536,88,1448,5.729166666666666,0.34601998175285253,0.1571793452051369,
Nicotinic acid alkaloids,62604,15264,47340,24.381828637147787,14.103017537536184,27.263471877400107,
Nucleosides,4942,451,4491,9.125859975718333,1.1133012694157534,0.8055441441763267,
Octadecanoids,386,0,386,0.0,0.08695554228945382,0.0,NO_TARGET_POSITIVES
Oligopeptides,3227,594,2633,18.40718933994422,0.7269573444768588,1.0609605801346742,
Ornithine alkaloids,11453,1702,9751,14.860735178555837,2.580056543629831,3.0399914265811705,
Peptide alkaloids,4875,905,3970,18.564102564102562,1.0982079498991901,1.6164466751210103,
Phenanthrenoids,450,71,379,15.777777777777777,0.10137304152915601,0.12681515351778092,
Phenolic acids (C6-C1),8105,452,7653,5.576804441702652,1.82584111465291,0.8073302730991123,
Phenylethanoids (C6-C2),966,0,966,0.0,0.21761412914925493,0.0,NO_TARGET_POSITIVES
Phenylpropanoids (C6-C3),7178,28,7150,0.3900808024519365,1.6170126491028485,0.0500116098379981,
Phloroglucinols,469,17,452,3.624733475479744,0.10565323661594259,0.030364191687355994,
Polycyclic aromatic polyketides,2952,83,2869,2.8116531165311653,0.6650071524312634,0.14824870059120868,
Polyethers,595,0,595,0.0,0.13403768824410628,0.0,NO_TARGET_POSITIVES
Polyols,767,19,748,2.4771838331160363,0.1727847174508059,0.033936449532927286,
Polyprenols,45,0,45,0.0,0.010137304152915602,0.0,NO_TARGET_POSITIVES
Proline alkaloids,254,33,221,12.992125984251967,0.05721945010756806,0.058942254451926336,
Pseudoalkaloids,19762,2302,17460,11.648618560874406,4.451853437109291,4.111668780252558,
Saccharides,1741,1,1740,0.05743825387708214,0.39220103400502365,0.0017861289227856466,LOW_TARGET_SUPPORT
Serine alkaloids,649,649,0,100.0,0.146202453227605,1.1591976708878846,
Sesquiterpenoids,6965,96,6869,1.3783201722900216,1.5690294094457147,0.1714683765874221,
Sesterterpenoids,18,0,18,0.0,0.00405492166116624,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Small peptides,23205,4885,18320,21.051497522085757,5.227469841520145,8.725239787807885,
Sphingolipids,1919,2,1917,0.10422094841063052,0.4322997037654453,0.0035722578455712932,LOW_TARGET_SUPPORT
Steroids,24140,1411,22729,5.845070422535211,5.438100494475169,2.520227910050547,
Stilbenoids,1556,0,1556,0.0,0.35052545026525944,0.0,NO_TARGET_POSITIVES
Styrylpyrones,300,0,300,0.0,0.06758202768610401,0.0,NO_TARGET_POSITIVES
Terphenyls,232,21,211,9.051724137931034,0.05226343474392044,0.03750870737849858,
Tetramate alkaloids,985,253,732,25.68527918781726,0.2218943242360415,0.45189061746476855,
Triterpenoids,16701,0,16701,0.0,3.7622914812854105,0.0,NO_TARGET_POSITIVES
Tropolones,7,7,0,100.0,0.0015769139793424267,0.012502902459499525,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Tryptophan alkaloids,42993,7301,35692,16.98183425208755,9.685180387695565,13.040527265258007,
Tyrosine alkaloids,22659,2915,19744,12.864645394765878,5.104470551131436,5.20656580992016,
Xanthones,1299,0,1299,0.0,0.29263017988083034,0.0,NO_TARGET_POSITIVES
β-lactams,1951,1946,5,99.74372116863147,0.4395084533852964,3.475806883740869,
γ-lactam-β-lactones,8,0,8,0.0,0.0018021874049627734,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
TOTAL_RECORDS,443905,55987,387918,12.612383280206352,100.0,100.0,
TOTAL_ASSIGNMENTS,453774,56684,397090,12.491680880790879,102.2232234374472,101.24493185918159,
