value,total_count,target_count,non_target_count,percent_target_within_group,percent_of_all_records,percent_of_all_target,support_warning
3-HYDROXY-ACYL-AMIDES-LIBRARY,105,2,103,1.9047619047619049,0.023653709690136405,0.0035722578455712932,LOW_TARGET_SUPPORT
AASDB,93,0,93,0.0,0.020950428582692245,0.0,NO_TARGET_POSITIVES
BERKELEY-LAB,3396,240,3156,7.06713780918728,0.7650285534066974,0.4286709414685552,
BILELIB19,3819,551,3268,14.427860696517413,0.860319212444104,0.9841570364548913,
BIRMINGHAM-UHPLC-MS-NEG,1,0,1,0.0,0.00022527342562034668,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
BIRMINGHAM-UHPLC-MS-POS,669,85,584,12.705530642750373,0.15070792174001194,0.15182095843677998,
BMDMS-NP,125071,2839,122232,2.2699106907276665,28.175172615762385,5.0708200117884505,
CMMC-FOOD-BIOMARKERS,629,71,558,11.287758346581876,0.14169698471519807,0.12681515351778092,
DEREPLICATOR_IDENTIFIED_LIBRARY,363,17,346,4.683195592286501,0.08177425350018584,0.030364191687355994,
DMIM-DRUG-METABOLITE-LIBRARY,3637,424,3213,11.65795985702502,0.8193194489812009,0.7573186632611142,
ECG-ACYL-AMIDES-C4-C24-LIBRARY,719,19,700,2.642559109874826,0.1619715930210293,0.033936449532927286,
ECG-ACYL-ESTERS-C4-C24-LIBRARY,137,0,137,0.0,0.030862459309987496,0.0,NO_TARGET_POSITIVES
ECRFS_DB,79,16,63,20.253164556962027,0.01779660062400739,0.028578062764570346,
ELIXDB-LICHEN-DATABASE,519,2,517,0.3853564547206166,0.11691690789695994,0.0035722578455712932,LOW_TARGET_SUPPORT
GNPS-ALKYLAMINES-BILE-ACIDS-LIBRARY,24,1,23,4.166666666666666,0.005406562214888321,0.0017861289227856466,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
GNPS-ALKYLAMINES-LIBRARY,2428,302,2126,12.43822075782537,0.5469638774062018,0.5394109346812652,
GNPS-COLLECTIONS-MISC,4,0,4,0.0,0.0009010937024813867,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
GNPS-COLLECTIONS-PESTICIDES-POSITIVE,109,23,86,21.100917431192663,0.02455480339261779,0.04108096522406987,
GNPS-IIMN-PROPOGATED,145,17,128,11.724137931034482,0.03266464671495027,0.030364191687355994,
GNPS-IOBA-NHC,90,0,90,0.0,0.020274608305831204,0.0,NO_TARGET_POSITIVES
GNPS-ION-MOBILITY-LIBRARY,9218,2062,7156,22.369277500542417,2.076570437368356,3.682997838784004,
GNPS-LIBRARY,5073,282,4791,5.558840922531047,1.1428120881720187,0.5036883562255523,
GNPS-MSMLS,442,40,402,9.049773755656108,0.09957085412419324,0.07144515691142587,
GNPS-NIH-CLINICALCOLLECTION1,266,42,224,15.789473684210526,0.059922731215012216,0.07501741475699716,
