value,total_count,target_count,non_target_count,percent_target_within_group,percent_of_all_records,percent_of_all_target,support_warning
FourierTransform,1200,182,1018,15.166666666666668,0.27032811074441604,0.3250754639469877,
IonTrap,1883,104,1779,5.523101433882103,0.42418986044311285,0.18575740796970724,
MagneticSector,164,0,164,0.0,0.03694484180173686,0.0,NO_TARGET_POSITIVES
Orbitrap,375443,48523,326920,12.92419887972342,84.57733073517983,86.66833372032792,
Other,20499,2131,18368,10.395629055075856,4.617879951791487,3.806240734456213,
Quadrupole,6623,561,6062,8.470481654839197,1.4919858978835563,1.0020183256827477,
TimeOfFlight,37523,4456,33067,11.875383098366335,8.45293474955227,7.958990479932841,
UNKNOWN,570,30,540,5.263157894736842,0.1284058526035976,0.0535838676835694,
TOTAL_RECORDS,443905,55987,387918,12.612383280206352,100.0,100.0,
TOTAL_ASSIGNMENTS,443905,55987,387918,12.612383280206352,100.0,100.0,
