value,total_count,target_count,non_target_count,percent_target_within_group,percent_of_all_records,percent_of_all_target,support_warning
FourierTransform,1200,0,1200,0.0,0.27032811074441604,0.0,NO_TARGET_POSITIVES
IonTrap,1883,0,1883,0.0,0.42418986044311285,0.0,NO_TARGET_POSITIVES
MagneticSector,164,0,164,0.0,0.03694484180173686,0.0,NO_TARGET_POSITIVES
Orbitrap,375443,50,375393,0.013317600807579315,84.57733073517983,74.6268656716418,
Other,20499,3,20496,0.014634860237084735,4.617879951791487,4.477611940298507,LOW_TARGET_SUPPORT
Quadrupole,6623,3,6620,0.04529669334138608,1.4919858978835563,4.477611940298507,LOW_TARGET_SUPPORT
TimeOfFlight,37523,11,37512,0.02931535325000666,8.45293474955227,16.417910447761194,
UNKNOWN,570,0,570,0.0,0.1284058526035976,0.0,NO_TARGET_POSITIVES
TOTAL_RECORDS,443905,67,443838,0.015093319516563229,100.0,100.0,
TOTAL_ASSIGNMENTS,443905,67,443838,0.015093319516563229,100.0,100.0,
