value,total_count,target_count,non_target_count,percent_target_within_group,percent_of_all_records,percent_of_all_target,support_warning
FourierTransform,1200,6,1194,0.5,0.27032811074441604,7.792207792207792,LOW_TARGET_SUPPORT
IonTrap,1883,0,1883,0.0,0.42418986044311285,0.0,NO_TARGET_POSITIVES
MagneticSector,164,0,164,0.0,0.03694484180173686,0.0,NO_TARGET_POSITIVES
Orbitrap,375443,36,375407,0.009588672581457106,84.57733073517983,46.75324675324675,
Other,20499,20,20479,0.09756573491389824,4.617879951791487,25.97402597402597,
Quadrupole,6623,7,6616,0.10569228446323418,1.4919858978835563,9.090909090909092,LOW_TARGET_SUPPORT
TimeOfFlight,37523,8,37515,0.021320256909095756,8.45293474955227,10.38961038961039,LOW_TARGET_SUPPORT
UNKNOWN,570,0,570,0.0,0.1284058526035976,0.0,NO_TARGET_POSITIVES
TOTAL_RECORDS,443905,77,443828,0.017346053772766695,100.0,100.0,
TOTAL_ASSIGNMENTS,443905,77,443828,0.017346053772766695,100.0,100.0,
