atom_count,record_count,percent_of_formula_records,contains_target
0,123920417,99.99211491559979,false
1,6161,0.0049713472154875845,true
2,2066,0.0016670675778603064,true
3,598,0.00048252972485985637,true
4,444,0.00035826621712002713,true
5,124,0.00010005633090739498,true
6,95,0.00007665605996937517,true
7,54,0.00004357291829838168,true
8,49,0.000039538388826309305,true
9,26,0.000020979553254776363,true
10,84,0.00006778009513081595,true
11,8,6.455247155315804e-6,true
12,15,0.000012103588416217134,true
13,6,4.841435366486854e-6,true
14,5,4.034529472072378e-6,true
15,1,8.069058944144755e-7,true
16,8,6.455247155315804e-6,true
17,5,4.034529472072378e-6,true
18,6,4.841435366486854e-6,true
19,2,1.613811788828951e-6,true
20,1,8.069058944144755e-7,true
21,1,8.069058944144755e-7,true
22,2,1.613811788828951e-6,true
23,1,8.069058944144755e-7,true
27,2,1.613811788828951e-6,true
28,2,1.613811788828951e-6,true
29,2,1.613811788828951e-6,true
30,1,8.069058944144755e-7,true
43,1,8.069058944144755e-7,true
48,1,8.069058944144755e-7,true
64,1,8.069058944144755e-7,true
