atom_count,record_count,percent_of_formula_records,contains_target
0,123911132,99.98462279437015,false
1,14771,0.011918806966396217,true
2,2893,0.002334378752541078,true
3,462,0.0003727905232194877,true
4,443,0.0003574593112256127,true
5,59,0.00004760744777045406,true
6,190,0.00015331211993875035,true
7,25,0.000020172647360361886,true
8,64,0.00005164197724252643,true
9,17,0.000013717400205046084,true
10,18,0.000014524306099460559,true
11,2,1.613811788828951e-6,true
12,22,0.00001775192967711846,true
13,7,5.648341260901329e-6,true
14,27,0.00002178645914919084,true
15,2,1.613811788828951e-6,true
16,9,7.2621530497302796e-6,true
18,2,1.613811788828951e-6,true
19,2,1.613811788828951e-6,true
20,2,1.613811788828951e-6,true
22,1,8.069058944144755e-7,true
24,4,3.227623577657902e-6,true
25,1,8.069058944144755e-7,true
26,3,2.420717683243427e-6,true
27,1,8.069058944144755e-7,true
29,1,8.069058944144755e-7,true
30,2,1.613811788828951e-6,true
32,2,1.613811788828951e-6,true
38,3,2.420717683243427e-6,true
40,1,8.069058944144755e-7,true
43,1,8.069058944144755e-7,true
50,1,8.069058944144755e-7,true
51,1,8.069058944144755e-7,true
59,2,1.613811788828951e-6,true
62,1,8.069058944144755e-7,true
64,1,8.069058944144755e-7,true
70,1,8.069058944144755e-7,true
71,1,8.069058944144755e-7,true
72,1,8.069058944144755e-7,true
73,1,8.069058944144755e-7,true
75,1,8.069058944144755e-7,true
80,1,8.069058944144755e-7,true
90,4,3.227623577657902e-6,true
94,1,8.069058944144755e-7,true
97,1,8.069058944144755e-7,true
99,1,8.069058944144755e-7,true
150,1,8.069058944144755e-7,true
