atom_count,record_count,percent_of_formula_records,contains_target
0,123848009,99.93368847359702,false
1,70672,0.05702565337005981,true
2,8030,0.0064794543321482385,true
3,1367,0.001103040357664588,true
4,919,0.000741546516966903,true
5,352,0.0002840308748338954,true
6,273,0.00022028530917515184,true
7,91,0.00007342843639171727,true
8,126,0.00010167014269622392,true
9,70,0.00005648341260901329,true
10,57,0.00004599363598162511,true
11,22,0.00001775192967711846,true
12,35,0.000028241706304506644,true
13,9,7.2621530497302796e-6,true
14,32,0.000025820988621263216,true
15,6,4.841435366486854e-6,true
16,36,0.000029048612198921118,true
17,5,4.034529472072378e-6,true
18,7,5.648341260901329e-6,true
20,3,2.420717683243427e-6,true
21,1,8.069058944144755e-7,true
23,3,2.420717683243427e-6,true
24,6,4.841435366486854e-6,true
25,7,5.648341260901329e-6,true
26,1,8.069058944144755e-7,true
29,1,8.069058944144755e-7,true
30,2,1.613811788828951e-6,true
31,1,8.069058944144755e-7,true
32,3,2.420717683243427e-6,true
33,1,8.069058944144755e-7,true
35,1,8.069058944144755e-7,true
36,1,8.069058944144755e-7,true
37,2,1.613811788828951e-6,true
40,1,8.069058944144755e-7,true
41,3,2.420717683243427e-6,true
43,1,8.069058944144755e-7,true
49,1,8.069058944144755e-7,true
50,3,2.420717683243427e-6,true
55,1,8.069058944144755e-7,true
57,1,8.069058944144755e-7,true
60,4,3.227623577657902e-6,true
63,1,8.069058944144755e-7,true
64,1,8.069058944144755e-7,true
69,1,8.069058944144755e-7,true
70,3,2.420717683243427e-6,true
72,1,8.069058944144755e-7,true
80,5,4.034529472072378e-6,true
90,1,8.069058944144755e-7,true
97,2,1.613811788828951e-6,true
100,7,5.648341260901329e-6,true
112,1,8.069058944144755e-7,true
