atom_count,record_count,percent_of_formula_records,contains_target
0,123896669,99.97295251441922,false
1,29557,0.023849717521208656,true
2,2788,0.002249653633627558,true
3,421,0.0003397073815484942,true
4,405,0.00032679688723786257,true
5,69,0.000055676506714598815,true
6,181,0.00014604996688902009,true
7,8,6.455247155315804e-6,true
8,33,0.00002662789451567769,true
9,10,8.069058944144757e-6,true
10,5,4.034529472072378e-6,true
11,6,4.841435366486854e-6,true
12,15,0.000012103588416217134,true
13,7,5.648341260901329e-6,true
15,2,1.613811788828951e-6,true
16,4,3.227623577657902e-6,true
17,1,8.069058944144755e-7,true
18,1,8.069058944144755e-7,true
19,1,8.069058944144755e-7,true
24,3,2.420717683243427e-6,true
26,1,8.069058944144755e-7,true
30,1,8.069058944144755e-7,true
50,1,8.069058944144755e-7,true
