atom_count,record_count,percent_of_formula_records,contains_target
0,123912318,99.98557978476092,false
1,13382,0.010798014679054512,true
2,2923,0.002358585929373512,true
3,316,0.00025498226263497427,true
4,513,0.000413942723834626,true
5,145,0.00011700135469009896,true
6,326,0.00026305132157911906,true
7,24,0.000019365741465947416,true
8,87,0.00007020081281405937,true
9,8,6.455247155315804e-6,true
10,15,0.000012103588416217134,true
11,7,5.648341260901329e-6,true
12,17,0.000013717400205046084,true
13,4,3.227623577657902e-6,true
14,11,8.87596483855923e-6,true
15,2,1.613811788828951e-6,true
16,47,0.00003792457703748035,true
18,5,4.034529472072378e-6,true
19,1,8.069058944144755e-7,true
20,3,2.420717683243427e-6,true
21,1,8.069058944144755e-7,true
22,1,8.069058944144755e-7,true
24,7,5.648341260901329e-6,true
25,3,2.420717683243427e-6,true
28,2,1.613811788828951e-6,true
30,3,2.420717683243427e-6,true
34,1,8.069058944144755e-7,true
36,1,8.069058944144755e-7,true
40,1,8.069058944144755e-7,true
42,1,8.069058944144755e-7,true
44,1,8.069058944144755e-7,true
46,1,8.069058944144755e-7,true
55,4,3.227623577657902e-6,true
62,1,8.069058944144755e-7,true
70,2,1.613811788828951e-6,true
73,1,8.069058944144755e-7,true
82,1,8.069058944144755e-7,true
87,1,8.069058944144755e-7,true
101,1,8.069058944144755e-7,true
160,1,8.069058944144755e-7,true
