atom_count,record_count,percent_of_formula_records,contains_target
0,122638253,98.95752922639373,false
1,1071679,0.8647441020202108,true
2,113007,0.09118601441009665,true
3,41038,0.03311380409498125,true
4,22770,0.01837324721581761,true
5,9422,0.007602667337173189,true
6,8369,0.006752995430354746,true
7,3465,0.0027959289241461576,true
8,4674,0.003771478150493259,true
9,2168,0.0017493719790905831,true
10,2702,0.002180259726707913,true
11,988,0.0007972230236815019,true
12,1885,0.0015210176109712863,true
13,535,0.00043169465351174444,true
14,703,0.0005672548437733764,true
15,720,0.0005809722439784224,true
16,584,0.0004712330423380537,true
17,317,0.0002557891685293887,true
18,583,0.00047042613644363924,true
19,314,0.0002533684508461453,true
20,405,0.00032679688723786257,true
21,365,0.00029452065146128357,true
22,250,0.0002017264736036189,true
23,177,0.00014282234331136216,true
24,404,0.0003259899813434481,true
25,155,0.0001250704136342437,true
26,186,0.00015008449636109245,true
27,170,0.00013717400205046085,true
28,240,0.00019365741465947415,true
29,144,0.00011619444879568447,true
30,272,0.00021947840328073734,true
31,88,0.00007100771870847384,true
32,110,0.00008875964838559231,true
33,112,0.00009037346017442127,true
34,79,0.00006374556565874357,true
35,73,0.00005890413029225671,true
36,98,0.00007907677765261861,true
37,57,0.00004599363598162511,true
38,56,0.000045186730087210635,true
39,57,0.00004599363598162511,true
40,102,0.0000823044012302765,true
41,51,0.00004115220061513825,true
42,61,0.00004922125955928301,true
43,43,0.00003469695345982245,true
44,46,0.00003711767114306588,true
45,72,0.000058097224397842237,true
46,39,0.000031469329882164546,true
47,29,0.00002340027093801979,true
48,79,0.00006374556565874357,true
49,32,0.000025820988621263216,true
50,41,0.000033083141670993494,true
51,34,0.000027434800410092167,true
52,40,0.00003227623577657903,true
53,27,0.00002178645914919084,true
54,41,0.000033083141670993494,true
55,32,0.000025820988621263216,true
56,34,0.000027434800410092167,true
57,27,0.00002178645914919084,true
58,33,0.00002662789451567769,true
59,25,0.000020172647360361886,true
60,41,0.000033083141670993494,true
61,21,0.000016945023782703987,true
62,21,0.000016945023782703987,true
63,27,0.00002178645914919084,true
64,30,0.00002420717683243427,true
65,22,0.00001775192967711846,true
66,31,0.000025014082726848746,true
67,33,0.00002662789451567769,true
68,21,0.000016945023782703987,true
69,31,0.000025014082726848746,true
70,25,0.000020172647360361886,true
71,15,0.000012103588416217134,true
72,19,0.000015331211993875036,true
