atom_count,record_count,percent_of_formula_records,contains_target
0,123914456,99.98730494956317,false
1,14323,0.011557313125698533,true
2,747,0.0006027587031276132,true
3,347,0.000279996345361823,true
4,67,0.00005406269492576987,true
5,50,0.00004034529472072377,true
6,80,0.00006455247155315805,true
7,14,0.000011296682521802659,true
8,19,0.000015331211993875036,true
9,20,0.000016138117888289514,true
10,17,0.000013717400205046084,true
11,7,5.648341260901329e-6,true
12,11,8.87596483855923e-6,true
13,1,8.069058944144755e-7,true
14,2,1.613811788828951e-6,true
15,2,1.613811788828951e-6,true
16,2,1.613811788828951e-6,true
18,3,2.420717683243427e-6,true
19,1,8.069058944144755e-7,true
20,3,2.420717683243427e-6,true
22,1,8.069058944144755e-7,true
26,1,8.069058944144755e-7,true
27,1,8.069058944144755e-7,true
28,1,8.069058944144755e-7,true
29,1,8.069058944144755e-7,true
30,3,2.420717683243427e-6,true
33,1,8.069058944144755e-7,true
35,1,8.069058944144755e-7,true
37,1,8.069058944144755e-7,true
52,1,8.069058944144755e-7,true
73,1,8.069058944144755e-7,true
85,1,8.069058944144755e-7,true
97,1,8.069058944144755e-7,true
108,1,8.069058944144755e-7,true
114,1,8.069058944144755e-7,true
