atom_count,record_count,percent_of_formula_records,contains_target
0,123926970,99.99740256992588,false
1,2672,0.002156052549875479,true
2,279,0.00022512674454163868,true
3,149,0.00012022897826775687,true
4,60,0.00004841435366486854,true
5,24,0.000019365741465947416,true
6,13,0.000010489776627388182,true
7,2,1.613811788828951e-6,true
8,5,4.034529472072378e-6,true
9,3,2.420717683243427e-6,true
12,5,4.034529472072378e-6,true
13,2,1.613811788828951e-6,true
15,2,1.613811788828951e-6,true
17,1,8.069058944144755e-7,true
33,2,1.613811788828951e-6,true
