atom_count,record_count,percent_of_formula_records,contains_target
0,123914581,99.98740581279998,false
1,13724,0.011073976494944262,true
2,1305,0.0010530121922108907,true
3,273,0.00022028530917515184,true
4,148,0.00011942207237334238,true
5,49,0.000039538388826309305,true
6,49,0.000039538388826309305,true
7,8,6.455247155315804e-6,true
8,14,0.000011296682521802659,true
9,6,4.841435366486854e-6,true
10,8,6.455247155315804e-6,true
11,5,4.034529472072378e-6,true
12,8,6.455247155315804e-6,true
17,2,1.613811788828951e-6,true
18,1,8.069058944144755e-7,true
20,1,8.069058944144755e-7,true
25,1,8.069058944144755e-7,true
27,1,8.069058944144755e-7,true
35,1,8.069058944144755e-7,true
36,1,8.069058944144755e-7,true
47,1,8.069058944144755e-7,true
50,1,8.069058944144755e-7,true
69,1,8.069058944144755e-7,true
