atom_count,record_count,percent_of_formula_records,contains_target
0,115354119,93.07991856608885,false
1,7583864,6.1194645640377425,true
2,801401,0.646655190689655,true
3,99929,0.08063329912294413,true
4,50567,0.04080281036285679,true
5,12478,0.010068571750503826,true
6,11966,0.009655435932563615,true
7,3662,0.0029548893853458096,true
8,4764,0.003844099680990562,true
9,1727,0.0013935264796537993,true
10,1717,0.0013854574207096545,true
11,525,0.0004236255945675997,true
12,1059,0.0008545133421849297,true
13,257,0.00020737481486452023,true
14,354,0.0002856446866227243,true
15,211,0.00017025714372145433,true
16,335,0.0002703134746288493,true
17,108,0.00008714583659676336,true
18,215,0.00017348476729911225,true
19,66,0.00005325578903135538,true
20,143,0.00011538754290127,true
21,99,0.00007988368354703308,true
22,52,0.000041959106509552726,true
23,39,0.000031469329882164546,true
24,92,0.00007423534228613175,true
25,38,0.00003066242398775007,true
26,19,0.000015331211993875036,true
27,37,0.000029855518093335595,true
28,24,0.000019365741465947416,true
29,19,0.000015331211993875036,true
30,38,0.00003066242398775007,true
31,15,0.000012103588416217134,true
32,32,0.000025820988621263216,true
33,21,0.000016945023782703987,true
34,15,0.000012103588416217134,true
35,10,8.069058944144757e-6,true
36,16,0.000012910494310631608,true
37,9,7.2621530497302796e-6,true
38,7,5.648341260901329e-6,true
39,16,0.000012910494310631608,true
40,7,5.648341260901329e-6,true
41,11,8.87596483855923e-6,true
42,6,4.841435366486854e-6,true
43,9,7.2621530497302796e-6,true
44,6,4.841435366486854e-6,true
45,7,5.648341260901329e-6,true
46,6,4.841435366486854e-6,true
47,6,4.841435366486854e-6,true
48,10,8.069058944144757e-6,true
49,5,4.034529472072378e-6,true
50,4,3.227623577657902e-6,true
51,6,4.841435366486854e-6,true
52,1,8.069058944144755e-7,true
53,1,8.069058944144755e-7,true
54,3,2.420717683243427e-6,true
55,1,8.069058944144755e-7,true
56,1,8.069058944144755e-7,true
57,5,4.034529472072378e-6,true
58,3,2.420717683243427e-6,true
59,2,1.613811788828951e-6,true
61,1,8.069058944144755e-7,true
62,2,1.613811788828951e-6,true
65,1,8.069058944144755e-7,true
66,2,1.613811788828951e-6,true
68,1,8.069058944144755e-7,true
70,2,1.613811788828951e-6,true
71,1,8.069058944144755e-7,true
72,1,8.069058944144755e-7,true
73,2,1.613811788828951e-6,true
74,1,8.069058944144755e-7,true
75,1,8.069058944144755e-7,true
77,1,8.069058944144755e-7,true
78,1,8.069058944144755e-7,true
81,2,1.613811788828951e-6,true
82,1,8.069058944144755e-7,true
87,1,8.069058944144755e-7,true
90,1,8.069058944144755e-7,true
96,1,8.069058944144755e-7,true
97,1,8.069058944144755e-7,true
