atom_count,record_count,percent_of_formula_records,contains_target
0,123883199,99.96208349202146,false
1,41233,0.033271150744392075,true
2,3112,0.002511091143417848,true
3,1556,0.001255545571708924,true
4,351,0.00028322396893948093,true
5,234,0.00018881597929298728,true
6,97,0.00007826987175820412,true
7,50,0.00004034529472072377,true
8,68,0.000054869600820184334,true
9,26,0.000020979553254776363,true
10,48,0.00003873148293189483,true
11,13,0.000010489776627388182,true
12,31,0.000025014082726848746,true
13,10,8.069058944144757e-6,true
14,7,5.648341260901329e-6,true
15,18,0.000014524306099460559,true
16,6,4.841435366486854e-6,true
17,3,2.420717683243427e-6,true
18,1,8.069058944144755e-7,true
19,2,1.613811788828951e-6,true
20,13,0.000010489776627388182,true
21,4,3.227623577657902e-6,true
22,3,2.420717683243427e-6,true
23,1,8.069058944144755e-7,true
24,3,2.420717683243427e-6,true
25,5,4.034529472072378e-6,true
26,1,8.069058944144755e-7,true
27,3,2.420717683243427e-6,true
28,3,2.420717683243427e-6,true
29,3,2.420717683243427e-6,true
30,9,7.2621530497302796e-6,true
31,4,3.227623577657902e-6,true
32,1,8.069058944144755e-7,true
33,3,2.420717683243427e-6,true
34,2,1.613811788828951e-6,true
35,7,5.648341260901329e-6,true
39,1,8.069058944144755e-7,true
40,5,4.034529472072378e-6,true
41,1,8.069058944144755e-7,true
42,2,1.613811788828951e-6,true
43,2,1.613811788828951e-6,true
44,2,1.613811788828951e-6,true
45,2,1.613811788828951e-6,true
49,3,2.420717683243427e-6,true
50,5,4.034529472072378e-6,true
53,1,8.069058944144755e-7,true
55,2,1.613811788828951e-6,true
57,2,1.613811788828951e-6,true
58,2,1.613811788828951e-6,true
59,1,8.069058944144755e-7,true
60,2,1.613811788828951e-6,true
62,1,8.069058944144755e-7,true
63,2,1.613811788828951e-6,true
65,2,1.613811788828951e-6,true
68,1,8.069058944144755e-7,true
69,1,8.069058944144755e-7,true
70,1,8.069058944144755e-7,true
73,2,1.613811788828951e-6,true
75,2,1.613811788828951e-6,true
76,1,8.069058944144755e-7,true
78,1,8.069058944144755e-7,true
80,1,8.069058944144755e-7,true
81,1,8.069058944144755e-7,true
85,1,8.069058944144755e-7,true
90,1,8.069058944144755e-7,true
95,2,1.613811788828951e-6,true
97,1,8.069058944144755e-7,true
98,1,8.069058944144755e-7,true
100,3,2.420717683243427e-6,true
107,1,8.069058944144755e-7,true
