atom_count,record_count,percent_of_formula_records,contains_target
0,123922249,99.99359316719834,false
1,6976,0.0056289755194353815,true
2,579,0.0004671985128659814,true
3,213,0.0001718709555102833,true
4,63,0.00005083507134811196,true
5,32,0.000025820988621263216,true
6,22,0.00001775192967711846,true
7,10,8.069058944144757e-6,true
8,11,8.87596483855923e-6,true
9,4,3.227623577657902e-6,true
10,4,3.227623577657902e-6,true
11,5,4.034529472072378e-6,true
12,5,4.034529472072378e-6,true
18,4,3.227623577657902e-6,true
28,2,1.613811788828951e-6,true
36,1,8.069058944144755e-7,true
38,1,8.069058944144755e-7,true
46,1,8.069058944144755e-7,true
48,1,8.069058944144755e-7,true
51,1,8.069058944144755e-7,true
80,1,8.069058944144755e-7,true
86,1,8.069058944144755e-7,true
118,1,8.069058944144755e-7,true
244,2,1.613811788828951e-6,true
