atom_count,record_count,percent_of_formula_records,contains_target
0,102119454,82.4007893669879,false
1,16148862,13.030611935885936,true
2,4461535,3.600038889636487,true
3,747385,0.6030693618969628,true
4,246772,0.19912178137644898,true
5,68604,0.05535697198041068,true
6,61670,0.04976188650854071,true
7,17458,0.014086963104687916,true
8,20253,0.01634226507957637,true
9,8313,0.006707808700267535,true
10,8780,0.007084633752959095,true
11,3012,0.0024304005539764004,true
12,6403,0.005166618441935887,true
13,1631,0.0013160635137900096,true
14,2036,0.0016428604010278723,true
15,1272,0.0010263842976952129,true
16,1689,0.0013628640556660491,true
17,492,0.000396997700051922,true
18,988,0.0007972230236815019,true
19,253,0.0002041471912868623,true
20,663,0.0005349786079967973,true
21,266,0.0002146369679142505,true
22,227,0.00018316763803208596,true
23,119,0.00009602180143532259,true
24,376,0.0003033966162998428,true
25,107,0.00008633893070234889,true
26,83,0.00006697318923640148,true
27,104,0.00008391821301910545,true
28,148,0.00011942207237334238,true
29,34,0.000027434800410092167,true
30,122,0.00009844251911856602,true
31,34,0.000027434800410092167,true
32,66,0.00005325578903135538,true
33,41,0.000033083141670993494,true
34,21,0.000016945023782703987,true
35,24,0.000019365741465947416,true
36,74,0.00005971103618667119,true
37,17,0.000013717400205046084,true
38,25,0.000020172647360361886,true
39,28,0.000022593365043605318,true
40,45,0.0000363107652486514,true
41,15,0.000012103588416217134,true
42,25,0.000020172647360361886,true
43,16,0.000012910494310631608,true
44,13,0.000010489776627388182,true
45,25,0.000020172647360361886,true
46,5,4.034529472072378e-6,true
47,6,4.841435366486854e-6,true
48,28,0.000022593365043605318,true
49,13,0.000010489776627388182,true
50,30,0.00002420717683243427,true
51,5,4.034529472072378e-6,true
52,12,9.682870732973708e-6,true
53,5,4.034529472072378e-6,true
54,5,4.034529472072378e-6,true
55,8,6.455247155315804e-6,true
56,7,5.648341260901329e-6,true
57,9,7.2621530497302796e-6,true
58,4,3.227623577657902e-6,true
59,3,2.420717683243427e-6,true
60,29,0.00002340027093801979,true
61,8,6.455247155315804e-6,true
62,3,2.420717683243427e-6,true
64,5,4.034529472072378e-6,true
65,5,4.034529472072378e-6,true
66,3,2.420717683243427e-6,true
67,2,1.613811788828951e-6,true
68,3,2.420717683243427e-6,true
69,2,1.613811788828951e-6,true
70,7,5.648341260901329e-6,true
71,4,3.227623577657902e-6,true
72,10,8.069058944144757e-6,true
73,4,3.227623577657902e-6,true
75,12,9.682870732973708e-6,true
76,1,8.069058944144755e-7,true
77,1,8.069058944144755e-7,true
78,5,4.034529472072378e-6,true
79,3,2.420717683243427e-6,true
80,11,8.87596483855923e-6,true
81,1,8.069058944144755e-7,true
82,2,1.613811788828951e-6,true
84,4,3.227623577657902e-6,true
85,5,4.034529472072378e-6,true
86,2,1.613811788828951e-6,true
