atom_count,record_count,percent_of_formula_records,contains_target
0,123884514,99.96314457327261,false
1,39566,0.03192603861840314,true
2,3922,0.0031646849178935733,true
3,831,0.0006705387982584292,true
4,560,0.0004518673008721063,true
5,156,0.00012587731952865819,true
6,182,0.00014685687278343453,true
7,105,0.00008472511891351994,true
8,70,0.00005648341260901329,true
9,75,0.000060517942081085665,true
10,38,0.00003066242398775007,true
11,6,4.841435366486854e-6,true
12,8,6.455247155315804e-6,true
13,8,6.455247155315804e-6,true
14,5,4.034529472072378e-6,true
15,3,2.420717683243427e-6,true
16,5,4.034529472072378e-6,true
17,1,8.069058944144755e-7,true
18,4,3.227623577657902e-6,true
19,4,3.227623577657902e-6,true
20,3,2.420717683243427e-6,true
21,5,4.034529472072378e-6,true
22,6,4.841435366486854e-6,true
23,1,8.069058944144755e-7,true
24,5,4.034529472072378e-6,true
25,2,1.613811788828951e-6,true
26,3,2.420717683243427e-6,true
27,3,2.420717683243427e-6,true
28,3,2.420717683243427e-6,true
29,1,8.069058944144755e-7,true
30,4,3.227623577657902e-6,true
32,1,8.069058944144755e-7,true
33,3,2.420717683243427e-6,true
34,3,2.420717683243427e-6,true
35,2,1.613811788828951e-6,true
36,2,1.613811788828951e-6,true
39,3,2.420717683243427e-6,true
40,3,2.420717683243427e-6,true
41,1,8.069058944144755e-7,true
42,1,8.069058944144755e-7,true
45,3,2.420717683243427e-6,true
46,8,6.455247155315804e-6,true
47,3,2.420717683243427e-6,true
48,3,2.420717683243427e-6,true
49,2,1.613811788828951e-6,true
50,5,4.034529472072378e-6,true
51,4,3.227623577657902e-6,true
52,4,3.227623577657902e-6,true
53,4,3.227623577657902e-6,true
54,5,4.034529472072378e-6,true
55,1,8.069058944144755e-7,true
56,3,2.420717683243427e-6,true
58,5,4.034529472072378e-6,true
59,1,8.069058944144755e-7,true
60,4,3.227623577657902e-6,true
61,2,1.613811788828951e-6,true
62,1,8.069058944144755e-7,true
64,1,8.069058944144755e-7,true
67,1,8.069058944144755e-7,true
88,2,1.613811788828951e-6,true
92,2,1.613811788828951e-6,true
107,2,1.613811788828951e-6,true
108,1,8.069058944144755e-7,true
111,1,8.069058944144755e-7,true
117,2,1.613811788828951e-6,true
350,1,8.069058944144755e-7,true
