row_element,column_element,cooccurrence_count
Ac,Ac,9772
Ac,Ag,19
Ac,Al,5
Ac,Am,4
Ac,Ar,5
Ac,As,0
Ac,At,0
Ac,Au,32
Ac,B,263
Ac,Ba,2
Ac,Be,3
Ac,Bh,0
Ac,Bi,1
Ac,Bk,0
Ac,Br,460
Ac,C,9616
Ac,Ca,1
Ac,Cd,1
Ac,Ce,5
Ac,Cf,0
Ac,Cl,933
Ac,Cm,2
Ac,Cn,0
Ac,Co,19
Ac,Cr,5
Ac,Cs,12
Ac,Cu,20
Ac,Db,0
Ac,Ds,0
Ac,Dy,0
Ac,Er,0
Ac,Es,2
Ac,Eu,0
Ac,F,749
Ac,Fe,8
Ac,Fl,0
Ac,Fm,0
Ac,Fr,0
Ac,Ga,7
Ac,Gd,9
Ac,Ge,1
Ac,H,9680
Ac,He,0
Ac,Hf,4
Ac,Hg,20
Ac,Ho,0
Ac,Hs,0
Ac,I,248
Ac,In,4
Ac,Ir,3
Ac,K,54
Ac,Kr,0
Ac,La,6
Ac,Li,29
Ac,Lr,0
Ac,Lu,6
Ac,Lv,0
Ac,Mc,0
Ac,Md,0
Ac,Mg,12
Ac,Mn,16
Ac,Mo,2
Ac,Mt,0
Ac,N,6750
Ac,Na,210
Ac,Nb,5
Ac,Nd,1
Ac,Ne,0
Ac,Nh,0
Ac,Ni,4
Ac,No,21
Ac,Np,27
Ac,O,9094
Ac,Og,0
Ac,Os,5
Ac,P,409
Ac,Pa,0
Ac,Pb,8
Ac,Pd,42
Ac,Pm,0
Ac,Po,2
Ac,Pr,18
Ac,Pt,5
Ac,Pu,2
Ac,Ra,2
Ac,Rb,4
Ac,Re,12
Ac,Rf,3
Ac,Rg,0
Ac,Rh,7
Ac,Rn,0
Ac,Ru,8
Ac,S,1731
Ac,Sb,1
Ac,Sc,4
Ac,Se,17
Ac,Sg,0
Ac,Si,167
Ac,Sm,5
Ac,Sn,13
Ac,Sr,1
Ac,Ta,5
Ac,Tb,0
Ac,Tc,3
Ac,Te,6
Ac,Th,2
Ac,Ti,3
Ac,Tl,0
Ac,Tm,0
Ac,Ts,0
Ac,U,21
Ac,V,20
Ac,W,19
Ac,Xe,0
Ac,Y,31
Ac,Yb,0
Ac,Zn,20
Ac,Zr,4
Ag,Ac,19
Ag,Ag,19057
Ag,Al,376
Ag,Am,0
Ag,Ar,8
Ag,As,115
Ag,At,1
Ag,Au,544
Ag,B,676
Ag,Ba,83
Ag,Be,20
Ag,Bh,0
Ag,Bi,229
Ag,Bk,0
Ag,Br,1033
Ag,C,13924
Ag,Ca,164
Ag,Cd,133
Ag,Ce,65
Ag,Cf,1
Ag,Cl,2158
Ag,Cm,0
Ag,Cn,0
Ag,Co,159
Ag,Cr,161
Ag,Cs,54
Ag,Cu,849
Ag,Db,0
Ag,Ds,0
Ag,Dy,13
Ag,Er,8
Ag,Es,0
Ag,Eu,3
Ag,F,2521
Ag,Fe,273
Ag,Fl,0
Ag,Fm,0
Ag,Fr,0
Ag,Ga,134
Ag,Gd,17
Ag,Ge,125
Ag,H,15675
Ag,He,1
Ag,Hf,21
Ag,Hg,114
Ag,Ho,1
Ag,Hs,0
Ag,I,992
Ag,In,313
Ag,Ir,106
Ag,K,326
Ag,Kr,0
Ag,La,79
Ag,Li,248
Ag,Lr,0
Ag,Lu,2
Ag,Lv,0
Ag,Mc,0
Ag,Md,0
Ag,Mg,212
Ag,Mn,148
Ag,Mo,129
Ag,Mt,0
Ag,N,8548
Ag,Na,522
Ag,Nb,56
Ag,Nd,24
Ag,Ne,2
Ag,Nh,0
Ag,Ni,365
Ag,No,1
Ag,Np,0
Ag,O,12569
Ag,Og,0
Ag,Os,35
Ag,P,2330
Ag,Pa,1
Ag,Pb,259
Ag,Pd,222
Ag,Pm,0
Ag,Po,6
Ag,Pr,8
Ag,Pt,224
Ag,Pu,1
Ag,Ra,1
Ag,Rb,28
Ag,Re,35
Ag,Rf,0
Ag,Rg,0
Ag,Rh,54
Ag,Rn,0
Ag,Ru,84
Ag,S,4282
Ag,Sb,234
Ag,Sc,16
Ag,Se,289
Ag,Sg,0
Ag,Si,558
Ag,Sm,11
Ag,Sn,430
Ag,Sr,45
Ag,Ta,44
Ag,Tb,5
Ag,Tc,9
Ag,Te,129
Ag,Th,4
Ag,Ti,255
Ag,Tl,33
Ag,Tm,2
Ag,Ts,0
Ag,U,14
Ag,V,166
Ag,W,122
Ag,Xe,1
Ag,Y,55
Ag,Yb,10
Ag,Zn,563
Ag,Zr,124
Al,Ac,5
Al,Ag,376
Al,Al,82180
Al,Am,5
Al,Ar,34
Al,As,174
Al,At,0
Al,Au,270
Al,B,3213
Al,Ba,669
Al,Be,243
Al,Bh,0
Al,Bi,264
Al,Bk,17
Al,Br,3473
Al,C,63356
Al,Ca,2126
Al,Cd,110
Al,Ce,331
Al,Cf,1
Al,Cl,13100
Al,Cm,0
Al,Cn,0
Al,Co,952
Al,Cr,988
Al,Cs,162
Al,Cu,1439
Al,Db,0
Al,Ds,0
Al,Dy,67
Al,Er,85
Al,Es,0
Al,Eu,77
Al,F,8180
Al,Fe,1795
Al,Fl,0
Al,Fm,1
Al,Fr,0
Al,Ga,691
Al,Gd,150
Al,Ge,252
Al,H,76104
Al,He,8
Al,Hf,193
Al,Hg,67
Al,Ho,35
Al,Hs,0
Al,I,2245
Al,In,499
Al,Ir,433
Al,K,1544
Al,Kr,3
Al,La,436
Al,Li,6179
Al,Lr,4
Al,Lu,80
Al,Lv,0
Al,Mc,0
Al,Md,0
Al,Mg,3054
Al,Mn,1124
Al,Mo,602
Al,Mt,0
Al,N,27776
Al,Na,3277
Al,Nb,338
Al,Nd,164
Al,Ne,2
Al,Nh,0
Al,Ni,1497
Al,No,0
Al,Np,3
Al,O,56621
Al,Og,0
Al,Os,35
Al,P,6963
Al,Pa,0
Al,Pb,313
Al,Pd,303
Al,Pm,6
Al,Po,5
Al,Pr,64
Al,Pt,237
Al,Pu,14
Al,Ra,6
Al,Rb,73
Al,Re,88
Al,Rf,4
Al,Rg,0
Al,Rh,98
Al,Rn,0
Al,Ru,126
Al,S,9306
Al,Sb,237
Al,Sc,216
Al,Se,207
Al,Sg,1
Al,Si,6766
Al,Sm,76
Al,Sn,659
Al,Sr,486
Al,Ta,249
Al,Tb,76
Al,Tc,6
Al,Te,100
Al,Th,27
Al,Ti,2037
Al,Tl,32
Al,Tm,32
Al,Ts,0
Al,U,109
Al,V,524
Al,W,274
Al,Xe,1
Al,Y,588
Al,Yb,69
Al,Zn,2019
Al,Zr,1485
Am,Ac,4
Am,Ag,0
Am,Al,5
Am,Am,378
Am,Ar,0
Am,As,0
Am,At,0
Am,Au,2
Am,B,18
Am,Ba,0
Am,Be,6
Am,Bh,0
Am,Bi,1
Am,Bk,0
Am,Br,9
Am,C,234
Am,Ca,1
Am,Cd,0
Am,Ce,1
Am,Cf,0
Am,Cl,21
Am,Cm,3
Am,Cn,0
Am,Co,0
Am,Cr,1
Am,Cs,1
Am,Cu,0
Am,Db,0
Am,Ds,0
Am,Dy,0
Am,Er,0
Am,Es,0
Am,Eu,4
Am,F,20
Am,Fe,2
Am,Fl,0
Am,Fm,2
Am,Fr,0
Am,Ga,2
Am,Gd,0
Am,Ge,0
Am,H,263
Am,He,0
Am,Hf,0
Am,Hg,0
Am,Ho,0
Am,Hs,0
Am,I,10
Am,In,0
Am,Ir,0
Am,K,1
Am,Kr,0
Am,La,0
Am,Li,1
Am,Lr,0
Am,Lu,1
Am,Lv,0
Am,Mc,0
Am,Md,0
Am,Mg,0
Am,Mn,0
Am,Mo,2
Am,Mt,0
Am,N,150
Am,Na,1
Am,Nb,0
Am,Nd,0
Am,Ne,0
Am,Nh,0
Am,Ni,0
Am,No,0
Am,Np,5
Am,O,184
Am,Og,0
Am,Os,0
Am,P,9
Am,Pa,0
Am,Pb,0
Am,Pd,4
Am,Pm,2
Am,Po,0
Am,Pr,0
Am,Pt,2
Am,Pu,7
Am,Ra,0
Am,Rb,1
Am,Re,0
Am,Rf,0
Am,Rg,0
Am,Rh,0
Am,Rn,0
Am,Ru,2
Am,S,20
Am,Sb,2
Am,Sc,0
Am,Se,1
Am,Sg,0
Am,Si,5
Am,Sm,1
Am,Sn,1
Am,Sr,1
Am,Ta,0
Am,Tb,1
Am,Tc,0
Am,Te,0
Am,Th,1
Am,Ti,0
Am,Tl,0
Am,Tm,0
Am,Ts,0
Am,U,10
Am,V,0
Am,W,1
Am,Xe,0
Am,Y,59
Am,Yb,0
Am,Zn,2
Am,Zr,1
Ar,Ac,5
Ar,Ag,8
Ar,Al,34
Ar,Am,0
Ar,Ar,4077
Ar,As,4
Ar,At,0
Ar,Au,4
Ar,B,299
Ar,Ba,3
Ar,Be,2
Ar,Bh,0
Ar,Bi,1
Ar,Bk,0
Ar,Br,285
Ar,C,3633
Ar,Ca,13
Ar,Cd,3
Ar,Ce,2
Ar,Cf,0
Ar,Cl,566
Ar,Cm,0
Ar,Cn,0
Ar,Co,12
Ar,Cr,3
Ar,Cs,8
Ar,Cu,25
Ar,Db,0
Ar,Ds,0
Ar,Dy,0
Ar,Er,1
Ar,Es,0
Ar,Eu,2
Ar,F,567
Ar,Fe,36
Ar,Fl,0
Ar,Fm,0
Ar,Fr,0
Ar,Ga,3
Ar,Gd,0
Ar,Ge,5
Ar,H,3777
Ar,He,29
Ar,Hf,1
Ar,Hg,7
Ar,Ho,0
Ar,Hs,0
Ar,I,181
Ar,In,3
Ar,Ir,13
Ar,K,49
Ar,Kr,20
Ar,La,4
Ar,Li,67
Ar,Lr,0
Ar,Lu,0
Ar,Lv,0
Ar,Mc,0
Ar,Md,0
Ar,Mg,26
Ar,Mn,4
Ar,Mo,16
Ar,Mt,0
Ar,N,2144
Ar,Na,101
Ar,Nb,4
Ar,Nd,2
Ar,Ne,23
Ar,Nh,0
Ar,Ni,9
Ar,No,2
Ar,Np,0
Ar,O,2549
Ar,Og,0
Ar,Os,1
Ar,P,553
Ar,Pa,1
Ar,Pb,4
Ar,Pd,37
Ar,Pm,0
Ar,Po,0
Ar,Pr,3
Ar,Pt,24
Ar,Pu,0
Ar,Ra,0
Ar,Rb,4
Ar,Re,3
Ar,Rf,6
Ar,Rg,0
Ar,Rh,5
Ar,Rn,2
Ar,Ru,71
Ar,S,758
Ar,Sb,0
Ar,Sc,0
Ar,Se,3
Ar,Sg,0
Ar,Si,133
Ar,Sm,2
Ar,Sn,21
Ar,Sr,1
Ar,Ta,2
Ar,Tb,0
Ar,Tc,1
Ar,Te,0
Ar,Th,1
Ar,Ti,6
Ar,Tl,1
Ar,Tm,0
Ar,Ts,0
Ar,U,36
Ar,V,40
Ar,W,113
Ar,Xe,22
Ar,Y,174
Ar,Yb,0
Ar,Zn,12
Ar,Zr,8
As,Ac,0
As,Ag,115
As,Al,174
As,Am,0
As,Ar,4
As,As,33520
As,At,6
As,Au,113
As,B,354
As,Ba,55
As,Be,15
As,Bh,0
As,Bi,184
As,Bk,0
As,Br,1308
As,C,30169
As,Ca,187
As,Cd,129
As,Ce,15
As,Cf,0
As,Cl,4407
As,Cm,0
As,Cn,0
As,Co,96
As,Cr,162
As,Cs,29
As,Cu,345
As,Db,0
As,Ds,0
As,Dy,3
As,Er,4
As,Es,1
As,Eu,5
As,F,4358
As,Fe,341
As,Fl,0
As,Fm,0
As,Fr,0
As,Ga,256
As,Gd,17
As,Ge,196
As,H,32137
As,He,1
As,Hf,11
As,Hg,116
As,Ho,4
As,Hs,0
As,I,946
As,In,147
As,Ir,33
As,K,175
As,Kr,0
As,La,26
As,Li,212
As,Lr,0
As,Lu,7
As,Lv,0
As,Mc,0
As,Md,0
As,Mg,87
As,Mn,107
As,Mo,83
As,Mt,0
As,N,17568
As,Na,845
As,Nb,16
As,Nd,5
As,Ne,0
As,Nh,0
As,Ni,141
As,No,0
As,Np,0
As,O,23720
As,Og,0
As,Os,25
As,P,1649
As,Pa,0
As,Pb,247
As,Pd,106
As,Pm,2
As,Po,4
As,Pr,3
As,Pt,128
As,Pu,1
As,Ra,1
As,Rb,30
As,Re,28
