element,count,percent_of_records
H,123803117,99.89746485418496
C,123718939,99.82954112980494
N,110333086,89.02841744233925
O,108803862,87.79447758285916
S,36179922,29.193792321255962
F,25132174,20.279299340050226
Cl,21810735,17.599210633012106
Br,8576070,6.920081433911152
I,2533762,2.0445074928434104
P,2487337,2.0070468866952185
Si,1807399,1.4584009066588288
B,1291936,1.0424707736062597
Na,409200,0.3301858919944034
Ir,161636,0.13042504114957817
K,155106,0.12515594565905164
Pt,139438,0.11251334410536565
Se,118139,0.09532705546023174
Li,116808,0.09425306371476606
Sn,108730,0.08773487789968593
Zr,106560,0.08598389210880651
Y,97036,0.07829892037040305
Al,82180,0.0663115264029816
Fe,81477,0.06574427155920823
Ti,77889,0.06284909321004908
Zn,75927,0.061265943845207886
Cu,67108,0.05414984076236662
Mg,62803,0.05067611088691231
Ni,50336,0.04061641510124704
Pd,48618,0.03923015077464297
Ca,46990,0.037916507978536206
Ge,45899,0.037036173647730014
Co,45675,0.036855426727381166
W,43802,0.03534409198714286
V,39548,0.03191151431230368
Ru,38960,0.03143705364638797
As,33520,0.027047485580773224
Mn,30805,0.024856736077437918
Cr,27025,0.0218066317965512
Hf,21977,0.01773337084154693
U,21201,0.017107211867481296
Te,20419,0.016476211458049176
Mo,20028,0.016160711253333116
Ag,19057,0.01537720562985666
Sb,19017,0.015344929394080081
Pb,18185,0.014673583689927237
Au,17871,0.014420215239081092
Ba,15733,0.012695050436822944
Bi,15608,0.012594187200021135
Hg,15125,0.012204451653018943
Rh,14844,0.011977711096688475
In,13932,0.011241812920982473
Cs,12082,0.009749037016315694
Ga,11598,0.009358494563419088
Rb,10891,0.008788012096068054
Re,10108,0.008156204780741519
Ac,9772,0.007885084400218255
Os,8598,0.006937776880175661
Sr,8275,0.006677146276279785
Ce,8210,0.006624697393142844
La,8057,0.00650124079129743
Cd,7940,0.006406832801650936
Gd,7696,0.006209947763413804
Nb,6583,0.005311861502930493
Tl,6100,0.004922125955928301
Ta,5718,0.004613887904261971
Eu,5588,0.004508990137988089
Nd,5563,0.004488817490627728
Rf,5122,0.0041329719911909445
Ar,4077,0.003289755331527817
Pr,3761,0.0030347730688928425
Tc,3661,0.002954082479451395
Sc,3507,0.002829818971711566
Sm,3341,0.002695872593238763
Yb,3273,0.0026410029924185787
Be,3219,0.0025974300741201965
Tb,3106,0.002506249708051361
Lu,2572,0.0020753619604340313
Dy,2307,0.001861531898414195
Er,2190,0.0017671239087677015
Fm,2065,0.001666260671965892
Ho,1792,0.0014459753627907403
Th,1726,0.0013927195737593848
Po,1363,0.0010998127340869303
Tm,1263,0.0010191221446454826
At,1114,0.0008988931663777258
Lr,816,0.000658435209842212
Cm,635,0.000512385242953192
Xe,588,0.00047446066591571163
Pu,575,0.00046397088928832345
Np,477,0.00038489411163570485
He,415,0.00033486594618200736
Pm,409,0.0003300245108155205
Am,378,0.0003050104280886718
No,355,0.0002864515925171388
Es,348,0.0002808032512562375
Ra,275,0.00022189912096398076
Pa,259,0.00020898862665334918
Cf,230,0.00018558835571532938
Ne,225,0.00018155382624325701
Bk,168,0.0001355601902616319
Kr,166,0.00013394637847280295
Rn,138,0.00011135301342919763
Sg,137,0.00011054610753478316
Db,105,0.00008472511891351994
Fr,105,0.00008472511891351994
Md,93,0.00007504224818054623
Mt,79,0.00006374556565874357
Bh,74,0.00005971103618667119
Hs,69,0.000055676506714598815
Ds,11,8.87596483855923e-6
Rg,9,7.2621530497302796e-6
Fl,8,6.455247155315804e-6
Nh,8,6.455247155315804e-6
Cn,7,5.648341260901329e-6
Lv,5,4.034529472072378e-6
Mc,5,4.034529472072378e-6
Ts,3,2.420717683243427e-6
Og,1,8.069058944144755e-7
