atom_count,record_count,percent_of_formula_records,contains_target
0,123903164,99.97819336820345,false
1,23532,0.018988109507361437,true
2,2376,0.001917208405128794,true
3,386,0.00031146567524398754,true
4,235,0.00018962288518740175,true
5,116,0.00009360108375207917,true
6,126,0.00010167014269622392,true
7,65,0.00005244888313694091,true
8,66,0.00005325578903135538,true
9,32,0.000025820988621263216,true
10,29,0.00002340027093801979,true
11,8,6.455247155315804e-6,true
12,15,0.000012103588416217134,true
13,3,2.420717683243427e-6,true
14,5,4.034529472072378e-6,true
15,3,2.420717683243427e-6,true
16,2,1.613811788828951e-6,true
18,4,3.227623577657902e-6,true
20,5,4.034529472072378e-6,true
22,1,8.069058944144755e-7,true
25,1,8.069058944144755e-7,true
30,1,8.069058944144755e-7,true
40,2,1.613811788828951e-6,true
82,1,8.069058944144755e-7,true
95,1,8.069058944144755e-7,true
99,1,8.069058944144755e-7,true
100,3,2.420717683243427e-6,true
203,2,1.613811788828951e-6,true
207,2,1.613811788828951e-6,true
408,1,8.069058944144755e-7,true
414,1,8.069058944144755e-7,true
