atom_count,record_count,percent_of_formula_records,contains_target
0,123918107,99.99025096298368,false
1,7038,0.005679003684889079,true
2,4540,0.003663352760641719,true
3,194,0.00015653974351640825,true
4,163,0.00013152566078955953,true
5,31,0.000025014082726848746,true
6,29,0.00002340027093801979,true
7,35,0.000028241706304506644,true
8,25,0.000020172647360361886,true
9,9,7.2621530497302796e-6,true
10,6,4.841435366486854e-6,true
11,1,8.069058944144755e-7,true
12,5,4.034529472072378e-6,true
14,1,8.069058944144755e-7,true
15,1,8.069058944144755e-7,true
18,3,2.420717683243427e-6,true
36,1,8.069058944144755e-7,true
