atom_count,record_count,percent_of_formula_records,contains_target
0,98798015,79.72070065994977,false
1,11322075,9.135849054502772,true
2,4418992,3.5657106921704123,true
3,6181439,4.987839565063521,true
4,1207268,0.974151665337975,true
5,525471,0.42400564724386886,true
6,734916,0.5930080522995087,true
7,156834,0.12655027904459987,true
8,109765,0.08857002550040491,true
9,110171,0.08889762929353719,true
10,56071,0.045244020405714055,true
11,24113,0.01945692183201625,true
12,67810,0.054716288700245586,true
13,22334,0.0180214362458529,true
14,17035,0.013745641911350592,true
15,24560,0.01981760876681952,true
16,15900,0.01282980372119016,true
17,19149,0.015451440972142792,true
18,19515,0.01574676852949849,true
19,6347,0.005121431711848676,true
20,15142,0.012218169053223989,true
21,8286,0.006686022241118345,true
22,4584,0.0036988566199959555,true
23,3473,0.0028023841713014737,true
24,13868,0.011190170943739948,true
25,3229,0.0026054991330643415,true
26,4415,0.0035624895238399097,true
27,3542,0.0028580606780160725,true
28,2907,0.0023456754350628804,true
29,1503,0.0012127795593049567,true
30,4370,0.0035261787585912584,true
31,1065,0.0008593547775514165,true
32,1764,0.0014233819977471347,true
33,1338,0.0010796400867265684,true
34,2555,0.002061644560228985,true
35,891,0.0007189531519232978,true
36,2485,0.002005161147619972,true
37,648,0.0005228750195805801,true
38,765,0.0006172830092270738,true
39,1158,0.0009343970257319628,true
40,1240,0.0010005633090739497,true
41,394,0.00031792092239930333,true
42,1158,0.0009343970257319628,true
43,339,0.0002735410982065072,true
44,458,0.00036956289964182977,true
45,618,0.000498667842748146,true
46,356,0.00028725849841155333,true
47,226,0.00018236073213767146,true
48,1004,0.0008101335179921336,true
49,191,0.00015411902583316482,true
50,368,0.000296941369144527,true
51,672,0.0005422407610465276,true
52,395,0.00031872782829371783,true
53,125,0.00010086323680180944,true
54,513,0.000413942723834626,true
55,111,0.00008956655428000678,true
56,243,0.00019607813234271757,true
57,170,0.00013717400205046085,true
58,162,0.00013071875489514503,true
59,114,0.00009198727196325022,true
60,551,0.00044460514782237597,true
61,109,0.00008795274249117784,true
62,153,0.00012345660184541476,true
63,234,0.00018881597929298728,true
64,186,0.00015008449636109245,true
65,84,0.00006778009513081595,true
66,203,0.00016380189656613854,true
67,89,0.00007181462460288833,true
68,298,0.00024045795653551374,true
69,96,0.00007746296586378966,true
70,117,0.00009440798964649364,true
71,57,0.00004599363598162511,true
72,236,0.00019042979108181623,true
73,57,0.00004599363598162511,true
74,57,0.00004599363598162511,true
75,76,0.00006132484797550015,true
76,103,0.00008311130712469098,true
77,61,0.00004922125955928301,true
78,193,0.00015573283762199377,true
79,51,0.00004115220061513825,true
80,158,0.00012749113131748713,true
81,106,0.00008553202480793441,true
82,63,0.00005083507134811196,true
83,45,0.0000363107652486514,true
84,125,0.00010086323680180944,true
85,47,0.00003792457703748035,true
86,57,0.00004599363598162511,true
87,66,0.00005325578903135538,true
88,36,0.000029048612198921118,true
89,45,0.0000363107652486514,true
90,102,0.0000823044012302765,true
91,44,0.00003550385935423692,true
92,42,0.000033890047565407975,true
93,25,0.000020172647360361886,true
94,37,0.000029855518093335595,true
95,27,0.00002178645914919084,true
96,77,0.00006213175386991462,true
97,32,0.000025820988621263216,true
98,23,0.00001855883557153294,true
99,30,0.00002420717683243427,true
100,41,0.000033083141670993494,true
101,16,0.000012910494310631608,true
102,165,0.00013313947257838845,true
103,13,0.000010489776627388182,true
104,45,0.0000363107652486514,true
105,31,0.000025014082726848746,true
106,20,0.000016138117888289514,true
107,9,7.2621530497302796e-6,true
108,42,0.000033890047565407975,true
109,16,0.000012910494310631608,true
110,9,7.2621530497302796e-6,true
111,13,0.000010489776627388182,true
112,23,0.00001855883557153294,true
113,9,7.2621530497302796e-6,true
114,34,0.000027434800410092167,true
115,14,0.000011296682521802659,true
116,12,9.682870732973708e-6,true
117,51,0.00004115220061513825,true
118,40,0.00003227623577657903,true
119,20,0.000016138117888289514,true
120,40,0.00003227623577657903,true
121,17,0.000013717400205046084,true
122,19,0.000015331211993875036,true
123,13,0.000010489776627388182,true
124,6,4.841435366486854e-6,true
125,4,3.227623577657902e-6,true
126,24,0.000019365741465947416,true
127,11,8.87596483855923e-6,true
128,6,4.841435366486854e-6,true
129,7,5.648341260901329e-6,true
130,11,8.87596483855923e-6,true
131,18,0.000014524306099460559,true
132,17,0.000013717400205046084,true
133,6,4.841435366486854e-6,true
134,8,6.455247155315804e-6,true
135,21,0.000016945023782703987,true
136,38,0.00003066242398775007,true
137,9,7.2621530497302796e-6,true
138,17,0.000013717400205046084,true
139,5,4.034529472072378e-6,true
140,12,9.682870732973708e-6,true
141,12,9.682870732973708e-6,true
142,7,5.648341260901329e-6,true
143,10,8.069058944144757e-6,true
144,26,0.000020979553254776363,true
145,6,4.841435366486854e-6,true
146,5,4.034529472072378e-6,true
147,7,5.648341260901329e-6,true
148,9,7.2621530497302796e-6,true
149,16,0.000012910494310631608,true
150,16,0.000012910494310631608,true
151,2,1.613811788828951e-6,true
152,10,8.069058944144757e-6,true
153,9,7.2621530497302796e-6,true
154,6,4.841435366486854e-6,true
155,5,4.034529472072378e-6,true
156,9,7.2621530497302796e-6,true
157,4,3.227623577657902e-6,true
158,8,6.455247155315804e-6,true
159,2,1.613811788828951e-6,true
160,9,7.2621530497302796e-6,true
161,7,5.648341260901329e-6,true
162,15,0.000012103588416217134,true
163,3,2.420717683243427e-6,true
164,6,4.841435366486854e-6,true
165,5,4.034529472072378e-6,true
166,3,2.420717683243427e-6,true
167,2,1.613811788828951e-6,true
168,5,4.034529472072378e-6,true
169,11,8.87596483855923e-6,true
170,14,0.000011296682521802659,true
171,5,4.034529472072378e-6,true
172,4,3.227623577657902e-6,true
173,2,1.613811788828951e-6,true
174,5,4.034529472072378e-6,true
175,4,3.227623577657902e-6,true
176,4,3.227623577657902e-6,true
177,4,3.227623577657902e-6,true
178,4,3.227623577657902e-6,true
179,6,4.841435366486854e-6,true
180,5,4.034529472072378e-6,true
181,4,3.227623577657902e-6,true
