atom_count,record_count,percent_of_formula_records,contains_target
0,123848712,99.93425572844079,false
1,69452,0.05604122817887416,true
2,7954,0.006418129484172738,true
3,1393,0.0011240199109193644,true
4,1210,0.0009763561322415154,true
5,361,0.00029129302788362567,true
6,402,0.0003243761695546192,true
7,175,0.00014120853152253322,true
8,175,0.00014120853152253322,true
9,125,0.00010086323680180944,true
10,53,0.00004276601240396721,true
11,14,0.000011296682521802659,true
12,46,0.00003711767114306588,true
13,9,7.2621530497302796e-6,true
14,9,7.2621530497302796e-6,true
15,7,5.648341260901329e-6,true
16,11,8.87596483855923e-6,true
17,10,8.069058944144757e-6,true
18,4,3.227623577657902e-6,true
19,2,1.613811788828951e-6,true
20,14,0.000011296682521802659,true
21,1,8.069058944144755e-7,true
22,2,1.613811788828951e-6,true
23,1,8.069058944144755e-7,true
24,1,8.069058944144755e-7,true
26,1,8.069058944144755e-7,true
27,2,1.613811788828951e-6,true
28,2,1.613811788828951e-6,true
30,17,0.000013717400205046084,true
32,2,1.613811788828951e-6,true
34,2,1.613811788828951e-6,true
35,1,8.069058944144755e-7,true
36,2,1.613811788828951e-6,true
40,1,8.069058944144755e-7,true
42,1,8.069058944144755e-7,true
47,1,8.069058944144755e-7,true
50,1,8.069058944144755e-7,true
55,2,1.613811788828951e-6,true
57,2,1.613811788828951e-6,true
60,1,8.069058944144755e-7,true
64,1,8.069058944144755e-7,true
65,1,8.069058944144755e-7,true
68,1,8.069058944144755e-7,true
83,1,8.069058944144755e-7,true
84,1,8.069058944144755e-7,true
95,1,8.069058944144755e-7,true
100,1,8.069058944144755e-7,true
203,1,8.069058944144755e-7,true
