atom_count,record_count,percent_of_formula_records,contains_target
0,123918591,99.99064150543659,false
1,9979,0.008052113920362052,true
2,1076,0.0008682307423899757,true
3,195,0.00015734664941082275,true
4,130,0.00010489776627388183,true
5,97,0.00007826987175820412,true
6,36,0.000029048612198921118,true
7,16,0.000012910494310631608,true
8,22,0.00001775192967711846,true
9,8,6.455247155315804e-6,true
10,12,9.682870732973708e-6,true
11,3,2.420717683243427e-6,true
12,6,4.841435366486854e-6,true
14,4,3.227623577657902e-6,true
15,4,3.227623577657902e-6,true
16,1,8.069058944144755e-7,true
18,1,8.069058944144755e-7,true
20,3,2.420717683243427e-6,true
28,1,8.069058944144755e-7,true
51,2,1.613811788828951e-6,true
65,1,8.069058944144755e-7,true
93,1,8.069058944144755e-7,true
