atom_count,record_count,percent_of_formula_records,contains_target
0,123884290,99.96296382635227,false
1,37936,0.030610782010507546,true
2,4357,0.00351568898196387,true
3,1105,0.0008916310133279955,true
4,1434,0.0011571030525903579,true
5,381,0.0003074311457719152,true
6,309,0.000249333921374073,true
7,80,0.00006455247155315805,true
8,158,0.00012749113131748713,true
9,34,0.000027434800410092167,true
10,40,0.00003227623577657903,true
11,12,9.682870732973708e-6,true
12,10,8.069058944144757e-6,true
13,6,4.841435366486854e-6,true
14,1,8.069058944144755e-7,true
16,2,1.613811788828951e-6,true
17,1,8.069058944144755e-7,true
18,12,9.682870732973708e-6,true
19,1,8.069058944144755e-7,true
20,2,1.613811788828951e-6,true
22,3,2.420717683243427e-6,true
24,1,8.069058944144755e-7,true
26,1,8.069058944144755e-7,true
27,2,1.613811788828951e-6,true
28,1,8.069058944144755e-7,true
31,2,1.613811788828951e-6,true
36,1,8.069058944144755e-7,true
37,1,8.069058944144755e-7,true
53,5,4.034529472072378e-6,true
102,1,8.069058944144755e-7,true
