atom_count,record_count,percent_of_formula_records,contains_target
0,123908212,99.98226662915846,false
1,19941,0.016090510440519058,true
2,1373,0.0011078817930310748,true
3,321,0.00025901679210704666,true
4,202,0.00016299499067172406,true
5,81,0.00006535937744757251,true
6,33,0.00002662789451567769,true
7,7,5.648341260901329e-6,true
8,6,4.841435366486854e-6,true
9,3,2.420717683243427e-6,true
11,2,1.613811788828951e-6,true
12,3,2.420717683243427e-6,true
13,1,8.069058944144755e-7,true
24,2,1.613811788828951e-6,true
30,1,8.069058944144755e-7,true
94,1,8.069058944144755e-7,true
