atom_count,record_count,percent_of_formula_records,contains_target
0,123915064,99.98779554834698,false
1,13542,0.010927119622160827,true
2,1258,0.0010150876151734103,true
3,164,0.00013233256668397398,true
4,89,0.00007181462460288833,true
5,25,0.000020172647360361886,true
6,12,9.682870732973708e-6,true
7,6,4.841435366486854e-6,true
8,6,4.841435366486854e-6,true
9,5,4.034529472072378e-6,true
10,9,7.2621530497302796e-6,true
12,1,8.069058944144755e-7,true
18,3,2.420717683243427e-6,true
34,3,2.420717683243427e-6,true
40,1,8.069058944144755e-7,true
56,1,8.069058944144755e-7,true
