atom_count,record_count,percent_of_formula_records,contains_target
0,121396427,97.95549250715659,false
1,2330208,1.8802585704117663,true
2,133973,0.10810360339239054,true
3,35920,0.02898405972736796,true
4,13016,0.010502687121698814,true
5,4305,0.0034737298754543176,true
6,6762,0.005456297658030684,true
7,1289,0.001040101697900259,true
8,1398,0.0011280544403914367,true
9,1256,0.0010134738033845813,true
10,542,0.0004373429947726458,true
11,354,0.0002856446866227243,true
12,632,0.0005099645252699485,true
13,249,0.0002009195677092044,true
14,155,0.0001250704136342437,true
15,233,0.0001880090733985728,true
16,192,0.00015492593172757932,true
17,128,0.00010328395448505286,true
18,294,0.00023723033295785582,true
19,81,0.00006535937744757251,true
20,141,0.00011377373111244105,true
21,213,0.0001718709555102833,true
22,63,0.00005083507134811196,true
23,61,0.00004922125955928301,true
24,286,0.00023077508580254,true
25,84,0.00006778009513081595,true
26,43,0.00003469695345982245,true
27,100,0.00008069058944144754,true
28,46,0.00003711767114306588,true
29,41,0.000033083141670993494,true
30,70,0.00005648341260901329,true
31,33,0.00002662789451567769,true
32,40,0.00003227623577657903,true
33,43,0.00003469695345982245,true
34,27,0.00002178645914919084,true
35,36,0.000029048612198921118,true
36,37,0.000029855518093335595,true
37,24,0.000019365741465947416,true
38,29,0.00002340027093801979,true
39,20,0.000016138117888289514,true
40,17,0.000013717400205046084,true
41,17,0.000013717400205046084,true
42,20,0.000016138117888289514,true
43,14,0.000011296682521802659,true
44,13,0.000010489776627388182,true
45,22,0.00001775192967711846,true
46,7,5.648341260901329e-6,true
47,11,8.87596483855923e-6,true
48,17,0.000013717400205046084,true
49,15,0.000012103588416217134,true
50,8,6.455247155315804e-6,true
51,17,0.000013717400205046084,true
52,15,0.000012103588416217134,true
53,10,8.069058944144757e-6,true
54,20,0.000016138117888289514,true
55,18,0.000014524306099460559,true
56,8,6.455247155315804e-6,true
57,16,0.000012910494310631608,true
58,9,7.2621530497302796e-6,true
59,10,8.069058944144757e-6,true
60,20,0.000016138117888289514,true
61,17,0.000013717400205046084,true
62,12,9.682870732973708e-6,true
63,13,0.000010489776627388182,true
64,8,6.455247155315804e-6,true
65,8,6.455247155315804e-6,true
66,8,6.455247155315804e-6,true
67,4,3.227623577657902e-6,true
68,10,8.069058944144757e-6,true
