atom_count,record_count,percent_of_formula_records,contains_target
0,123916257,99.98875818707901,false
1,12679,0.010230759835281135,true
2,985,0.0007948023059982585,true
3,121,0.00009763561322415153,true
4,89,0.00007181462460288833,true
5,25,0.000020172647360361886,true
6,11,8.87596483855923e-6,true
7,4,3.227623577657902e-6,true
8,4,3.227623577657902e-6,true
10,2,1.613811788828951e-6,true
12,1,8.069058944144755e-7,true
14,3,2.420717683243427e-6,true
16,1,8.069058944144755e-7,true
17,2,1.613811788828951e-6,true
18,2,1.613811788828951e-6,true
19,1,8.069058944144755e-7,true
29,1,8.069058944144755e-7,true
60,1,8.069058944144755e-7,true
