atom_count,record_count,percent_of_formula_records,contains_target
0,123768553,99.86957495885042,false
1,123289,0.09948262081646626,true
2,6946,0.005604768342602947,true
3,7487,0.006041304431481178,true
4,12457,0.010051626726721122,true
5,7013,0.0056588310375287176,true
6,2260,0.0018236073213767148,true
7,680,0.0005486960082018434,true
8,726,0.0005858136793449092,true
9,193,0.00015573283762199377,true
10,342,0.00027596181588975064,true
11,51,0.00004115220061513825,true
12,96,0.00007746296586378966,true
13,21,0.000016945023782703987,true
14,23,0.00001855883557153294,true
15,20,0.000016138117888289514,true
16,17,0.000013717400205046084,true
17,4,3.227623577657902e-6,true
18,1,8.069058944144755e-7,true
19,3,2.420717683243427e-6,true
20,2,1.613811788828951e-6,true
22,1,8.069058944144755e-7,true
49,1,8.069058944144755e-7,true
60,1,8.069058944144755e-7,true
145,1,8.069058944144755e-7,true
146,1,8.069058944144755e-7,true
