atom_count,record_count,percent_of_formula_records,contains_target
0,123775083,99.87484405434095,false
1,116396,0.0939206184862673,true
2,28165,0.022726504516183705,true
3,5058,0.004081330013948417,true
4,2576,0.002078589584011689,true
5,747,0.0006027587031276132,true
6,642,0.0005180335842140933,true
7,237,0.00019123669697623073,true
8,245,0.0001976919441315465,true
9,121,0.00009763561322415153,true
10,158,0.00012749113131748713,true
11,44,0.00003550385935423692,true
12,111,0.00008956655428000678,true
13,29,0.00002340027093801979,true
14,32,0.000025820988621263216,true
15,43,0.00003469695345982245,true
16,38,0.00003066242398775007,true
17,11,8.87596483855923e-6,true
18,30,0.00002420717683243427,true
19,17,0.000013717400205046084,true
20,38,0.00003066242398775007,true
21,12,9.682870732973708e-6,true
22,20,0.000016138117888289514,true
23,13,0.000010489776627388182,true
24,11,8.87596483855923e-6,true
25,14,0.000011296682521802659,true
26,13,0.000010489776627388182,true
27,8,6.455247155315804e-6,true
28,12,9.682870732973708e-6,true
29,8,6.455247155315804e-6,true
30,11,8.87596483855923e-6,true
31,2,1.613811788828951e-6,true
32,9,7.2621530497302796e-6,true
33,8,6.455247155315804e-6,true
34,2,1.613811788828951e-6,true
35,5,4.034529472072378e-6,true
36,8,6.455247155315804e-6,true
37,3,2.420717683243427e-6,true
38,5,4.034529472072378e-6,true
39,6,4.841435366486854e-6,true
40,7,5.648341260901329e-6,true
41,2,1.613811788828951e-6,true
42,12,9.682870732973708e-6,true
43,10,8.069058944144757e-6,true
44,5,4.034529472072378e-6,true
45,7,5.648341260901329e-6,true
46,5,4.034529472072378e-6,true
47,3,2.420717683243427e-6,true
48,4,3.227623577657902e-6,true
49,3,2.420717683243427e-6,true
50,8,6.455247155315804e-6,true
51,4,3.227623577657902e-6,true
52,2,1.613811788828951e-6,true
53,2,1.613811788828951e-6,true
54,1,8.069058944144755e-7,true
55,3,2.420717683243427e-6,true
56,1,8.069058944144755e-7,true
57,1,8.069058944144755e-7,true
58,1,8.069058944144755e-7,true
59,3,2.420717683243427e-6,true
60,2,1.613811788828951e-6,true
61,1,8.069058944144755e-7,true
62,1,8.069058944144755e-7,true
63,1,8.069058944144755e-7,true
64,1,8.069058944144755e-7,true
65,1,8.069058944144755e-7,true
66,5,4.034529472072378e-6,true
68,1,8.069058944144755e-7,true
70,2,1.613811788828951e-6,true
76,1,8.069058944144755e-7,true
80,1,8.069058944144755e-7,true
84,2,1.613811788828951e-6,true
86,1,8.069058944144755e-7,true
87,2,1.613811788828951e-6,true
95,1,8.069058944144755e-7,true
98,2,1.613811788828951e-6,true
99,1,8.069058944144755e-7,true
101,3,2.420717683243427e-6,true
102,2,1.613811788828951e-6,true
104,3,2.420717683243427e-6,true
105,4,3.227623577657902e-6,true
106,1,8.069058944144755e-7,true
107,1,8.069058944144755e-7,true
108,1,8.069058944144755e-7,true
109,3,2.420717683243427e-6,true
110,2,1.613811788828951e-6,true
111,1,8.069058944144755e-7,true
112,3,2.420717683243427e-6,true
115,2,1.613811788828951e-6,true
117,1,8.069058944144755e-7,true
119,1,8.069058944144755e-7,true
120,1,8.069058944144755e-7,true
122,1,8.069058944144755e-7,true
125,1,8.069058944144755e-7,true
128,2,1.613811788828951e-6,true
133,2,1.613811788828951e-6,true
175,1,8.069058944144755e-7,true
200,1,8.069058944144755e-7,true
207,1,8.069058944144755e-7,true
208,1,8.069058944144755e-7,true
212,2,1.613811788828951e-6,true
213,2,1.613811788828951e-6,true
215,4,3.227623577657902e-6,true
216,2,1.613811788828951e-6,true
222,2,1.613811788828951e-6,true
223,6,4.841435366486854e-6,true
228,23,0.00001855883557153294,true
281,1,8.069058944144755e-7,true
307,1,8.069058944144755e-7,true
318,1,8.069058944144755e-7,true
402,1,8.069058944144755e-7,true
406,1,8.069058944144755e-7,true
528,1,8.069058944144755e-7,true
688,1,8.069058944144755e-7,true
745,1,8.069058944144755e-7,true
