atom_count,record_count,percent_of_formula_records,contains_target
0,123922132,99.9934987592087,false
1,7034,0.005675776061311422,true
2,751,0.0006059863267052712,true
3,74,0.00005971103618667119,true
4,84,0.00006778009513081595,true
5,26,0.000020979553254776363,true
6,11,8.87596483855923e-6,true
7,13,0.000010489776627388182,true
8,6,4.841435366486854e-6,true
9,4,3.227623577657902e-6,true
10,2,1.613811788828951e-6,true
11,2,1.613811788828951e-6,true
12,3,2.420717683243427e-6,true
13,1,8.069058944144755e-7,true
14,2,1.613811788828951e-6,true
15,1,8.069058944144755e-7,true
20,1,8.069058944144755e-7,true
26,1,8.069058944144755e-7,true
27,1,8.069058944144755e-7,true
28,1,8.069058944144755e-7,true
29,1,8.069058944144755e-7,true
30,1,8.069058944144755e-7,true
33,1,8.069058944144755e-7,true
34,1,8.069058944144755e-7,true
35,1,8.069058944144755e-7,true
36,1,8.069058944144755e-7,true
37,1,8.069058944144755e-7,true
39,1,8.069058944144755e-7,true
41,1,8.069058944144755e-7,true
51,1,8.069058944144755e-7,true
52,1,8.069058944144755e-7,true
57,1,8.069058944144755e-7,true
64,1,8.069058944144755e-7,true
76,1,8.069058944144755e-7,true
78,1,8.069058944144755e-7,true
80,1,8.069058944144755e-7,true
83,1,8.069058944144755e-7,true
85,1,8.069058944144755e-7,true
87,1,8.069058944144755e-7,true
91,1,8.069058944144755e-7,true
93,1,8.069058944144755e-7,true
97,1,8.069058944144755e-7,true
98,1,8.069058944144755e-7,true
99,1,8.069058944144755e-7,true
101,1,8.069058944144755e-7,true
102,1,8.069058944144755e-7,true
103,1,8.069058944144755e-7,true
104,1,8.069058944144755e-7,true
105,1,8.069058944144755e-7,true
106,1,8.069058944144755e-7,true
111,1,8.069058944144755e-7,true
123,1,8.069058944144755e-7,true
135,1,8.069058944144755e-7,true
155,1,8.069058944144755e-7,true
171,1,8.069058944144755e-7,true
172,1,8.069058944144755e-7,true
193,1,8.069058944144755e-7,true
199,1,8.069058944144755e-7,true
235,1,8.069058944144755e-7,true
