atom_count,record_count,percent_of_formula_records,contains_target
0,123813381,99.90574693628524,false
1,98302,0.07932046323273177,true
2,13035,0.010518018333692689,true
3,2429,0.001959974417532761,true
4,1731,0.001396754103231457,true
5,323,0.0002606306038958756,true
6,326,0.00026305132157911906,true
7,99,0.00007988368354703308,true
8,140,0.00011296682521802658,true
9,65,0.00005244888313694091,true
10,56,0.000045186730087210635,true
11,20,0.000016138117888289514,true
12,99,0.00007988368354703308,true
13,20,0.000016138117888289514,true
14,23,0.00001855883557153294,true
15,31,0.000025014082726848746,true
16,23,0.00001855883557153294,true
17,9,7.2621530497302796e-6,true
18,16,0.000012910494310631608,true
19,3,2.420717683243427e-6,true
20,8,6.455247155315804e-6,true
21,3,2.420717683243427e-6,true
22,6,4.841435366486854e-6,true
23,2,1.613811788828951e-6,true
24,4,3.227623577657902e-6,true
25,3,2.420717683243427e-6,true
27,5,4.034529472072378e-6,true
29,1,8.069058944144755e-7,true
30,1,8.069058944144755e-7,true
32,1,8.069058944144755e-7,true
36,2,1.613811788828951e-6,true
38,1,8.069058944144755e-7,true
40,1,8.069058944144755e-7,true
42,1,8.069058944144755e-7,true
44,1,8.069058944144755e-7,true
47,1,8.069058944144755e-7,true
49,1,8.069058944144755e-7,true
50,1,8.069058944144755e-7,true
52,7,5.648341260901329e-6,true
55,1,8.069058944144755e-7,true
58,1,8.069058944144755e-7,true
63,4,3.227623577657902e-6,true
98,1,8.069058944144755e-7,true
99,1,8.069058944144755e-7,true
