atom_count,record_count,percent_of_formula_records,contains_target
0,123867386,99.94932388911309,false
1,57283,0.046221990349744405,true
2,3708,0.0029920070564888753,true
3,1082,0.0008730721777564626,true
4,266,0.0002146369679142505,true
5,128,0.00010328395448505286,true
6,72,0.000058097224397842237,true
7,27,0.00002178645914919084,true
8,17,0.000013717400205046084,true
9,28,0.000022593365043605318,true
10,28,0.000022593365043605318,true
11,12,9.682870732973708e-6,true
12,24,0.000019365741465947416,true
13,5,4.034529472072378e-6,true
14,11,8.87596483855923e-6,true
15,10,8.069058944144757e-6,true
16,11,8.87596483855923e-6,true
17,9,7.2621530497302796e-6,true
18,4,3.227623577657902e-6,true
19,5,4.034529472072378e-6,true
20,10,8.069058944144757e-6,true
21,2,1.613811788828951e-6,true
22,3,2.420717683243427e-6,true
23,1,8.069058944144755e-7,true
24,2,1.613811788828951e-6,true
25,4,3.227623577657902e-6,true
26,1,8.069058944144755e-7,true
27,2,1.613811788828951e-6,true
28,1,8.069058944144755e-7,true
29,1,8.069058944144755e-7,true
30,7,5.648341260901329e-6,true
33,1,8.069058944144755e-7,true
35,1,8.069058944144755e-7,true
36,3,2.420717683243427e-6,true
40,3,2.420717683243427e-6,true
41,3,2.420717683243427e-6,true
42,1,8.069058944144755e-7,true
50,2,1.613811788828951e-6,true
51,2,1.613811788828951e-6,true
54,1,8.069058944144755e-7,true
55,1,8.069058944144755e-7,true
56,1,8.069058944144755e-7,true
61,1,8.069058944144755e-7,true
62,3,2.420717683243427e-6,true
63,2,1.613811788828951e-6,true
65,1,8.069058944144755e-7,true
72,1,8.069058944144755e-7,true
74,1,8.069058944144755e-7,true
78,2,1.613811788828951e-6,true
88,1,8.069058944144755e-7,true
95,3,2.420717683243427e-6,true
100,4,3.227623577657902e-6,true
120,1,8.069058944144755e-7,true
