atom_count,record_count,percent_of_formula_records,contains_target
0,123910161,99.98383928874667,false
1,16375,0.013213084021037038,true
2,1841,0.0014855137516170494,true
3,656,0.0005293302667358959,true
4,292,0.00023561652116902684,true
5,89,0.00007181462460288833,true
6,212,0.00017106404961586883,true
7,123,0.0000992494250129805,true
8,215,0.00017348476729911225,true
9,18,0.000014524306099460559,true
10,21,0.000016945023782703987,true
11,6,4.841435366486854e-6,true
12,112,0.00009037346017442127,true
14,7,5.648341260901329e-6,true
16,18,0.000014524306099460559,true
18,10,8.069058944144757e-6,true
19,1,8.069058944144755e-7,true
20,3,2.420717683243427e-6,true
21,1,8.069058944144755e-7,true
24,14,0.000011296682521802659,true
27,2,1.613811788828951e-6,true
28,1,8.069058944144755e-7,true
29,6,4.841435366486854e-6,true
41,2,1.613811788828951e-6,true
72,2,1.613811788828951e-6,true
169,1,8.069058944144755e-7,true
