atom_count,record_count,percent_of_formula_records,contains_target
0,123520989,99.6698141080056,false
1,292165,0.23574966064160524,true
2,74340,0.059985384190772116,true
3,18659,0.0150560570838797,true
4,12836,0.010357444060704208,true
5,2904,0.002343254717379637,true
6,2670,0.00215443873808665,true
7,794,0.0006406832801650936,true
8,1444,0.0011651721115345027,true
9,418,0.00033728666386525076,true
10,555,0.0004478327714000339,true
11,196,0.00015815355530523722,true
12,438,0.0003534247817535403,true
13,168,0.0001355601902616319,true
14,202,0.00016299499067172406,true
15,139,0.00011215991932361209,true
16,302,0.0002436855801131716,true
17,84,0.00006778009513081595,true
18,105,0.00008472511891351994,true
19,179,0.0001444361551001911,true
20,101,0.00008149749533586203,true
21,33,0.00002662789451567769,true
22,44,0.00003550385935423692,true
23,22,0.00001775192967711846,true
24,51,0.00004115220061513825,true
25,26,0.000020979553254776363,true
26,26,0.000020979553254776363,true
27,19,0.000015331211993875036,true
28,10,8.069058944144757e-6,true
29,11,8.87596483855923e-6,true
30,23,0.00001855883557153294,true
31,2,1.613811788828951e-6,true
32,6,4.841435366486854e-6,true
33,10,8.069058944144757e-6,true
34,7,5.648341260901329e-6,true
35,7,5.648341260901329e-6,true
36,15,0.000012103588416217134,true
37,8,6.455247155315804e-6,true
38,5,4.034529472072378e-6,true
39,4,3.227623577657902e-6,true
40,18,0.000014524306099460559,true
41,1,8.069058944144755e-7,true
42,3,2.420717683243427e-6,true
43,2,1.613811788828951e-6,true
44,5,4.034529472072378e-6,true
45,10,8.069058944144757e-6,true
46,9,7.2621530497302796e-6,true
47,4,3.227623577657902e-6,true
48,4,3.227623577657902e-6,true
49,1,8.069058944144755e-7,true
50,17,0.000013717400205046084,true
52,1,8.069058944144755e-7,true
53,2,1.613811788828951e-6,true
54,3,2.420717683243427e-6,true
55,6,4.841435366486854e-6,true
56,1,8.069058944144755e-7,true
57,2,1.613811788828951e-6,true
58,1,8.069058944144755e-7,true
60,6,4.841435366486854e-6,true
61,3,2.420717683243427e-6,true
63,3,2.420717683243427e-6,true
65,3,2.420717683243427e-6,true
66,1,8.069058944144755e-7,true
68,1,8.069058944144755e-7,true
69,1,8.069058944144755e-7,true
70,3,2.420717683243427e-6,true
71,1,8.069058944144755e-7,true
72,2,1.613811788828951e-6,true
73,2,1.613811788828951e-6,true
75,1,8.069058944144755e-7,true
76,1,8.069058944144755e-7,true
79,3,2.420717683243427e-6,true
80,6,4.841435366486854e-6,true
81,1,8.069058944144755e-7,true
82,3,2.420717683243427e-6,true
83,1,8.069058944144755e-7,true
85,1,8.069058944144755e-7,true
88,1,8.069058944144755e-7,true
89,2,1.613811788828951e-6,true
90,3,2.420717683243427e-6,true
91,2,1.613811788828951e-6,true
92,2,1.613811788828951e-6,true
93,1,8.069058944144755e-7,true
94,1,8.069058944144755e-7,true
95,2,1.613811788828951e-6,true
96,1,8.069058944144755e-7,true
97,2,1.613811788828951e-6,true
98,2,1.613811788828951e-6,true
99,4,3.227623577657902e-6,true
100,5,4.034529472072378e-6,true
101,2,1.613811788828951e-6,true
107,1,8.069058944144755e-7,true
111,2,1.613811788828951e-6,true
113,1,8.069058944144755e-7,true
114,1,8.069058944144755e-7,true
115,1,8.069058944144755e-7,true
116,1,8.069058944144755e-7,true
118,1,8.069058944144755e-7,true
125,1,8.069058944144755e-7,true
