atom_count,record_count,percent_of_formula_records,contains_target
0,123923606,99.99468813849707,false
1,5622,0.004536424938398182,true
2,539,0.0004349222770894023,true
3,128,0.00010328395448505286,true
4,85,0.00006858700102523042,true
5,67,0.00005406269492576987,true
6,57,0.00004599363598162511,true
7,25,0.000020172647360361886,true
8,12,9.682870732973708e-6,true
9,11,8.87596483855923e-6,true
10,12,9.682870732973708e-6,true
11,9,7.2621530497302796e-6,true
14,1,8.069058944144755e-7,true
15,8,6.455247155315804e-6,true
16,2,1.613811788828951e-6,true
18,1,8.069058944144755e-7,true
20,1,8.069058944144755e-7,true
24,1,8.069058944144755e-7,true
30,1,8.069058944144755e-7,true
36,1,8.069058944144755e-7,true
