atom_count,record_count,percent_of_formula_records,contains_target
0,123924626,99.99551118250936,false
1,4869,0.003928824799904081,true
2,535,0.00043169465351174444,true
3,42,0.000033890047565407975,true
4,70,0.00005648341260901329,true
5,17,0.000013717400205046084,true
6,4,3.227623577657902e-6,true
7,4,3.227623577657902e-6,true
8,7,5.648341260901329e-6,true
9,2,1.613811788828951e-6,true
10,1,8.069058944144755e-7,true
11,8,6.455247155315804e-6,true
12,3,2.420717683243427e-6,true
15,1,8.069058944144755e-7,true
