atom_count,record_count,percent_of_formula_records,contains_target
0,123879853,99.95938358489876,false
1,44636,0.036017051503084534,true
2,3420,0.0027596181588975064,true
3,805,0.0006495592450036527,true
4,597,0.0004817228189654419,true
5,354,0.0002856446866227243,true
6,226,0.00018236073213767146,true
7,82,0.00006616628334198699,true
8,62,0.00005002816545369749,true
9,37,0.000029855518093335595,true
10,30,0.00002420717683243427,true
11,17,0.000013717400205046084,true
12,17,0.000013717400205046084,true
13,2,1.613811788828951e-6,true
14,8,6.455247155315804e-6,true
15,3,2.420717683243427e-6,true
16,2,1.613811788828951e-6,true
17,2,1.613811788828951e-6,true
18,2,1.613811788828951e-6,true
19,1,8.069058944144755e-7,true
20,2,1.613811788828951e-6,true
23,1,8.069058944144755e-7,true
24,1,8.069058944144755e-7,true
25,1,8.069058944144755e-7,true
27,1,8.069058944144755e-7,true
30,4,3.227623577657902e-6,true
35,2,1.613811788828951e-6,true
36,1,8.069058944144755e-7,true
40,2,1.613811788828951e-6,true
43,1,8.069058944144755e-7,true
45,1,8.069058944144755e-7,true
50,2,1.613811788828951e-6,true
64,1,8.069058944144755e-7,true
65,1,8.069058944144755e-7,true
70,1,8.069058944144755e-7,true
73,1,8.069058944144755e-7,true
78,1,8.069058944144755e-7,true
80,4,3.227623577657902e-6,true
84,1,8.069058944144755e-7,true
95,1,8.069058944144755e-7,true
98,1,8.069058944144755e-7,true
150,1,8.069058944144755e-7,true
500,1,8.069058944144755e-7,true
