atom_count,record_count,percent_of_formula_records,contains_target
0,123929834,99.99971354840748,false
1,220,0.00017751929677118462,true
2,65,0.00005244888313694091,true
3,8,6.455247155315804e-6,true
4,11,8.87596483855923e-6,true
5,5,4.034529472072378e-6,true
6,4,3.227623577657902e-6,true
7,22,0.00001775192967711846,true
8,3,2.420717683243427e-6,true
9,1,8.069058944144755e-7,true
10,4,3.227623577657902e-6,true
11,2,1.613811788828951e-6,true
14,2,1.613811788828951e-6,true
15,2,1.613811788828951e-6,true
19,1,8.069058944144755e-7,true
20,3,2.420717683243427e-6,true
22,2,1.613811788828951e-6,true
